pathway,transcriptome_pval,transcriptome_padj,proteome_pval,proteome_padj,phosphoproteome_pval,phosphoproteome_padj,combined_pval,combined_padj,Contrast,Pathway
(KEGG) Thyroid cancer,0.580542265,0.997779412,0.359223301,0.945329815,0.82717873,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Thyroid Cancer
(KEGG) Basal cell carcinoma,0.621495327,0.997779412,0.176388889,0.834739852,0.841368585,0.951582618,0.999219213,1,X1O2NoCyA - X1O2PlusCyA,Basal Cell Carcinoma
(KEGG) Melanoma,0.717142857,0.997779412,0.504784689,0.945329815,0.677009873,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Melanoma
(KEGG) Bladder cancer,0.194029851,0.678014422,0.131414268,0.76574083,0.285081241,0.942982456,0.944949072,1,X1O2NoCyA - X1O2PlusCyA,Bladder Cancer
(KEGG) Chronic myeloid leukemia,0.78425656,0.997779412,0.298129813,0.945329815,0.255610973,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Chronic Myeloid Leukemia
(KEGG) Acute myeloid leukemia,0.647779479,0.997779412,0.72260274,0.945329815,0.556675063,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Acute Myeloid Leukemia
(KEGG) Small cell lung cancer,0.533742331,0.979994958,0.524774775,0.945329815,0.741007194,0.951582618,0.998925166,1,X1O2NoCyA - X1O2PlusCyA,Small Cell Lung Cancer
(KEGG) Non-small cell lung cancer,0.98489426,0.997779412,0.356812933,0.945329815,0.279487179,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Non-Small Cell Lung Cancer
(KEGG) Breast cancer,0.940425532,0.997779412,0.448979592,0.945329815,0.634517766,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Breast Cancer
(KEGG) Hepatocellular carcinoma,0.941605839,0.997779412,0.473963868,0.945329815,0.550877193,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Hepatocellular Carcinoma
(KEGG) Gastric cancer,0.316498316,0.825913761,0.586015538,0.945329815,0.394871795,0.948231545,0.991935027,1,X1O2NoCyA - X1O2PlusCyA,Gastric Cancer
(KEGG) Central carbon metabolism in cancer,0.54058193,0.979994958,0.39135255,0.945329815,0.903508772,0.967241756,0.999246732,1,X1O2NoCyA - X1O2PlusCyA,Central Carbon Metabolism In Cancer
(KEGG) Choline metabolism in cancer,0.916184971,0.997779412,0.378752887,0.945329815,0.52016129,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Choline Metabolism In Cancer
(KEGG) PD-L1 expression and PD-1 checkpoint pathway in cancer,0.488958991,0.963973577,0.205016358,0.83945887,0.829974811,0.951582618,0.994915465,1,X1O2NoCyA - X1O2PlusCyA,Pd-L1 Expression And Pd-1 Checkpoint Pathway In Cancer
(KEGG) Asthma,0.108949416,0.603174603,NA,NA,NA,NA,0.603174603,1,X1O2NoCyA - X1O2PlusCyA,Asthma
(KEGG) Autoimmune thyroid disease,0.678571429,0.997779412,0.677298311,0.945329815,NA,NA,0.999166472,1,X1O2NoCyA - X1O2PlusCyA,Autoimmune Thyroid Disease
(KEGG) Inflammatory bowel disease,0.878109453,0.997779412,0.421777222,0.945329815,0.369897959,0.948231545,0.999773309,1,X1O2NoCyA - X1O2PlusCyA,Inflammatory Bowel Disease
(KEGG) Systemic lupus erythematosus,0.401904762,0.919061625,NA,NA,NA,NA,0.919061625,1,X1O2NoCyA - X1O2PlusCyA,Systemic Lupus Erythematosus
(KEGG) Rheumatoid arthritis,0.452464789,0.944406371,0.113240418,0.720358732,NA,NA,0.938124794,1,X1O2NoCyA - X1O2PlusCyA,Rheumatoid Arthritis
(KEGG) Allograft rejection,0.550167224,0.979994958,0.209011264,0.844405507,0.419444444,0.948231545,0.996638537,1,X1O2NoCyA - X1O2PlusCyA,Allograft Rejection
(KEGG) Graft-versus-host disease,0.103202847,0.603174603,0.595100865,0.945329815,0.916666667,0.969121562,0.984378503,1,X1O2NoCyA - X1O2PlusCyA,Graft-Versus-Host Disease
(KEGG) Hypertrophic cardiomyopathy,0.494004796,0.963973577,0.14893617,0.820502901,0.968921389,0.980320465,0.99708954,1,X1O2NoCyA - X1O2PlusCyA,Hypertrophic Cardiomyopathy
(KEGG) Arrhythmogenic right ventricular cardiomyopathy,0.897274633,0.997779412,0.172727273,0.834739852,NA,NA,0.996530722,1,X1O2NoCyA - X1O2PlusCyA,Arrhythmogenic Right Ventricular Cardiomyopathy
(KEGG) Dilated cardiomyopathy,0.736263736,0.997779412,0.674475956,0.945329815,0.800469484,0.951582618,0.999788756,1,X1O2NoCyA - X1O2PlusCyA,Dilated Cardiomyopathy
(KEGG) Viral myocarditis,0.376237624,0.891718671,0.557620818,0.945329815,0.836734694,0.951582618,0.995291145,1,X1O2NoCyA - X1O2PlusCyA,Viral Myocarditis
(KEGG) Fluid shear stress and atherosclerosis,0.661341853,0.997779412,0.360477742,0.945329815,0.140306122,0.942982456,0.999748719,1,X1O2NoCyA - X1O2PlusCyA,Fluid Shear Stress And Atherosclerosis
"(KEGG) Valine, leucine and isoleucine biosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,X1O2NoCyA - X1O2PlusCyA,"Valine, Leucine And Isoleucine Biosynthesis"
(KEGG) D-Arginine and D-ornithine metabolism,NA,NA,NA,NA,NA,NA,NA,NA,X1O2NoCyA - X1O2PlusCyA,D-Arginine And D-Ornithine Metabolism
"(KEGG) Neomycin, kanamycin and gentamicin biosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,X1O2NoCyA - X1O2PlusCyA,"Neomycin, Kanamycin And Gentamicin Biosynthesis"
(KEGG) Protein digestion and absorption,NA,NA,NA,NA,NA,NA,NA,NA,X1O2NoCyA - X1O2PlusCyA,Protein Digestion And Absorption
(KEGG) Nicotine addiction,NA,NA,NA,NA,NA,NA,NA,NA,X1O2NoCyA - X1O2PlusCyA,Nicotine Addiction
(KEGG) Glycolysis / Gluconeogenesis,1.01E-11,3.14E-09,0.000164992,0.008332084,0.055819477,0.997416021,0.000898911,0.134635839,X1O2NoCyA vs X19O2NoCyA,Glycolysis / Gluconeogenesis
(KEGG) Citrate cycle (TCA cycle),0.013330052,0.195128548,0.506622517,1,0.417886179,0.997416021,0.914628957,0.999991866,X1O2NoCyA vs X19O2NoCyA,Citrate Cycle (Tca Cycle)
(KEGG) Pentose phosphate pathway,0.000483691,0.016016139,0.110429448,0.644145245,0.162198391,0.997416021,0.722408038,0.999991866,X1O2NoCyA vs X19O2NoCyA,Pentose Phosphate Pathway
(KEGG) Pentose and glucuronate interconversions,0.844903988,0.964788381,0.387700535,1,NA,NA,0.964788381,0.999991866,X1O2NoCyA vs X19O2NoCyA,Pentose And Glucuronate Interconversions
(KEGG) Fructose and mannose metabolism,1.16E-05,0.000599147,3.39E-06,0.000342517,0.283898305,0.997416021,0.013342044,0.829875129,X1O2NoCyA vs X19O2NoCyA,Fructose And Mannose Metabolism
(KEGG) Galactose metabolism,0.06185567,0.461708683,0.009503261,0.143974407,0.271959459,0.997416021,0.827791936,0.999991866,X1O2NoCyA vs X19O2NoCyA,Galactose Metabolism
(KEGG) Ascorbate and aldarate metabolism,0.547916667,0.827194579,0.616731518,1,NA,NA,0.827194579,0.999991866,X1O2NoCyA vs X19O2NoCyA,Ascorbate And Aldarate Metabolism
(KEGG) Fatty acid biosynthesis,0.982733813,0.992274604,0.028517911,0.300763886,0.773170732,0.997416021,0.99664723,0.999991866,X1O2NoCyA vs X19O2NoCyA,Fatty Acid Biosynthesis
(KEGG) Fatty acid elongation,0.539622642,0.825116599,0.874233129,1,0.8125,0.997416021,0.995836428,0.999991866,X1O2NoCyA vs X19O2NoCyA,Fatty Acid Elongation
(KEGG) Fatty acid degradation,0.864,0.964788381,0.097402597,0.601488834,0.946280992,0.997416021,0.997503717,0.999991866,X1O2NoCyA vs X19O2NoCyA,Fatty Acid Degradation
(KEGG) Synthesis and degradation of ketone bodies,0.260504202,0.678933416,0.415584416,1,0.620423892,0.997416021,0.989443018,0.999991866,X1O2NoCyA vs X19O2NoCyA,Synthesis And Degradation Of Ketone Bodies
(KEGG) Steroid biosynthesis,0.000198625,0.00772155,0.061583578,0.53313783,0.37804878,0.997416021,0.604211204,0.999991866,X1O2NoCyA vs X19O2NoCyA,Steroid Biosynthesis
(KEGG) Primary bile acid biosynthesis,0.867256637,0.964788381,0.214975845,0.930538302,NA,NA,0.989981859,0.999991866,X1O2NoCyA vs X19O2NoCyA,Primary Bile Acid Biosynthesis
(KEGG) Ubiquinone and other terpenoid-quinone biosynthesis,0.300884956,0.695332774,0.487704918,1,NA,NA,0.695332774,0.999991866,X1O2NoCyA vs X19O2NoCyA,Ubiquinone And Other Terpenoid-Quinone Biosynthesis
(KEGG) Steroid hormone biosynthesis,0.572347267,0.832033196,0.431524548,1,NA,NA,0.832033196,0.999991866,X1O2NoCyA vs X19O2NoCyA,Steroid Hormone Biosynthesis
(KEGG) Oxidative phosphorylation,0.022696929,0.2823498,0.003518862,0.082016561,0.695934959,0.997416021,0.683868825,0.999991866,X1O2NoCyA vs X19O2NoCyA,Oxidative Phosphorylation
(KEGG) Arginine biosynthesis,0.575539568,0.832033196,0.792746114,1,NA,NA,0.832033196,0.999991866,X1O2NoCyA vs X19O2NoCyA,Arginine Biosynthesis
(KEGG) Purine metabolism,0.375838926,0.747476366,0.817813765,1,0.842039801,0.997416021,0.992830774,0.999991866,X1O2NoCyA vs X19O2NoCyA,Purine Metabolism
(KEGG) Caffeine metabolism,0.019335477,0.250555552,0.365758755,1,NA,NA,0.250555552,0.999991866,X1O2NoCyA vs X19O2NoCyA,Caffeine Metabolism
(KEGG) Pyrimidine metabolism,0.687580026,0.909946332,0.872905028,1,0.35924933,0.997416021,0.998278594,0.999991866,X1O2NoCyA vs X19O2NoCyA,Pyrimidine Metabolism
"(KEGG) Alanine, aspartate and glutamate metabolism",0.776,0.951468176,0.339506173,0.987727709,0.180743243,0.997416021,0.999945723,0.999991866,X1O2NoCyA vs X19O2NoCyA,"Alanine, Aspartate And Glutamate Metabolism"
"(KEGG) Glycine, serine and threonine metabolism",0.23715415,0.660124743,0.075303371,0.57788852,0.522727273,0.997416021,0.975366038,0.999991866,X1O2NoCyA vs X19O2NoCyA,"Glycine, Serine And Threonine Metabolism"
(KEGG) Cysteine and methionine metabolism,0.658376963,0.881967919,0.154411765,0.792996012,0.485815603,0.997416021,0.997198853,0.999991866,X1O2NoCyA vs X19O2NoCyA,Cysteine And Methionine Metabolism
"(KEGG) Valine, leucine and isoleucine degradation",0.437229437,0.787287904,0.725352113,1,0.484552846,0.997416021,0.994472124,0.999991866,X1O2NoCyA vs X19O2NoCyA,"Valine, Leucine And Isoleucine Degradation"
(KEGG) Lysine degradation,0.043147208,0.385757057,0.869863014,1,0.10982659,0.997416021,0.961802278,0.999991866,X1O2NoCyA vs X19O2NoCyA,Lysine Degradation
(KEGG) Arginine and proline metabolism,0.14,0.603729246,0.225396825,0.935551207,0.26446281,0.997416021,0.99589152,0.999991866,X1O2NoCyA vs X19O2NoCyA,Arginine And Proline Metabolism
(KEGG) Histidine metabolism,0.233846154,0.660124743,0.93495935,1,NA,NA,0.660124743,0.999991866,X1O2NoCyA vs X19O2NoCyA,Histidine Metabolism
(KEGG) Tyrosine metabolism,0.36329588,0.743322492,0.87012987,1,NA,NA,0.743322492,0.999991866,X1O2NoCyA vs X19O2NoCyA,Tyrosine Metabolism
(KEGG) Phenylalanine metabolism,0.239520958,0.660124743,0.763605442,1,NA,NA,0.660124743,0.999991866,X1O2NoCyA vs X19O2NoCyA,Phenylalanine Metabolism
(KEGG) Tryptophan metabolism,0.128,0.603729246,0.764792899,1,0.946280992,0.997416021,0.984741416,0.999991866,X1O2NoCyA vs X19O2NoCyA,Tryptophan Metabolism
"(KEGG) Phenylalanine, tyrosine and tryptophan biosynthesis",0.842824601,0.964788381,0.626297578,1,NA,NA,0.964788381,0.999991866,X1O2NoCyA vs X19O2NoCyA,"Phenylalanine, Tyrosine And Tryptophan Biosynthesis"
(KEGG) beta-Alanine metabolism,0.540540541,0.825116599,0.462566845,1,0.946280992,0.997416021,0.995836428,0.999991866,X1O2NoCyA vs X19O2NoCyA,Beta-Alanine Metabolism
(KEGG) Taurine and hypotaurine metabolism,0.277147488,0.684955563,0.579918033,1,NA,NA,0.684955563,0.999991866,X1O2NoCyA vs X19O2NoCyA,Taurine And Hypotaurine Metabolism
(KEGG) Phosphonate and phosphinate metabolism,0.518900344,0.825116599,0.688679245,1,0.588842975,0.997416021,0.995836428,0.999991866,X1O2NoCyA vs X19O2NoCyA,Phosphonate And Phosphinate Metabolism
(KEGG) Selenocompound metabolism,0.043413174,0.385757057,0.085492228,0.581175796,0.325203252,0.997416021,0.941223552,0.999991866,X1O2NoCyA vs X19O2NoCyA,Selenocompound Metabolism
(KEGG) D-Glutamine and D-glutamate metabolism,0.874570447,0.964788381,0.506920415,1,NA,NA,0.964788381,0.999991866,X1O2NoCyA vs X19O2NoCyA,D-Glutamine And D-Glutamate Metabolism
(KEGG) Glutathione metabolism,0.274261603,0.684955563,0.68370607,1,0.896959459,0.997416021,0.989772045,0.999991866,X1O2NoCyA vs X19O2NoCyA,Glutathione Metabolism
(KEGG) Starch and sucrose metabolism,0.002461155,0.063784931,0.001368512,0.041465909,0.131195335,0.997416021,0.394990993,0.999991866,X1O2NoCyA vs X19O2NoCyA,Starch And Sucrose Metabolism
(KEGG) N-Glycan biosynthesis,0.471962617,0.810941292,0.121405751,0.694074387,0.187804878,0.997416021,0.992160711,0.999991866,X1O2NoCyA vs X19O2NoCyA,N-Glycan Biosynthesis
(KEGG) Mucin type O-glycan biosynthesis,0.189003436,0.63204375,0.277777778,0.987727709,NA,NA,0.966256238,0.999991866,X1O2NoCyA vs X19O2NoCyA,Mucin Type O-Glycan Biosynthesis
(KEGG) Various types of N-glycan biosynthesis,0.516690856,0.825116599,0.080103359,0.57788852,NA,NA,0.78817852,0.999991866,X1O2NoCyA vs X19O2NoCyA,Various Types Of N-Glycan Biosynthesis
(KEGG) Mannose type O-glycan biosynthesis,0.35413643,0.739170669,0.125,0.701388889,NA,NA,0.795808399,0.999991866,X1O2NoCyA vs X19O2NoCyA,Mannose Type O-Glycan Biosynthesis
(KEGG) Amino sugar and nucleotide sugar metabolism,0.002016669,0.057016735,0.008954395,0.142963643,0.021186441,0.997416021,0.534266381,0.999991866,X1O2NoCyA vs X19O2NoCyA,Amino Sugar And Nucleotide Sugar Metabolism
(KEGG) Glycosaminoglycan degradation,0.789928058,0.955905159,0.003900004,0.084407224,NA,NA,0.591979403,0.999991866,X1O2NoCyA vs X19O2NoCyA,Glycosaminoglycan Degradation
(KEGG) Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,0.591251885,0.832033196,0.645914397,1,NA,NA,0.832033196,0.999991866,X1O2NoCyA vs X19O2NoCyA,Glycosaminoglycan Biosynthesis - Chondroitin Sulfate / Dermatan Sulfate
(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate / heparin,0.848797251,0.964788381,NA,NA,NA,NA,0.964788381,0.999991866,X1O2NoCyA vs X19O2NoCyA,Glycosaminoglycan Biosynthesis - Heparan Sulfate / Heparin
(KEGG) Glycerolipid metabolism,0.15942029,0.614320988,0.617910448,1,0.459039548,0.997416021,0.985475444,0.999991866,X1O2NoCyA vs X19O2NoCyA,Glycerolipid Metabolism
(KEGG) Inositol phosphate metabolism,0.144945189,0.603729246,0.237037037,0.94502924,0.125890736,0.997416021,0.996418891,0.999991866,X1O2NoCyA vs X19O2NoCyA,Inositol Phosphate Metabolism
(KEGG) Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.166023166,0.619571281,0.398584906,1,NA,NA,0.619571281,0.999991866,X1O2NoCyA vs X19O2NoCyA,Glycosylphosphatidylinositol (Gpi)-Anchor Biosynthesis
(KEGG) Glycerophospholipid metabolism,0.144945189,0.603729246,0.29,0.987727709,0.327249022,0.997416021,0.998909854,0.999991866,X1O2NoCyA vs X19O2NoCyA,Glycerophospholipid Metabolism
(KEGG) Ether lipid metabolism,0.929521277,0.973337094,0.892682927,1,NA,NA,0.973337094,0.999991866,X1O2NoCyA vs X19O2NoCyA,Ether Lipid Metabolism
(KEGG) Arachidonic acid metabolism,0.867823765,0.964788381,0.586563307,1,0.242774566,0.997416021,0.999436259,0.999991866,X1O2NoCyA vs X19O2NoCyA,Arachidonic Acid Metabolism
(KEGG) Linoleic acid metabolism,0.660766962,0.881967919,NA,NA,NA,NA,0.881967919,0.999991866,X1O2NoCyA vs X19O2NoCyA,Linoleic Acid Metabolism
(KEGG) alpha-Linolenic acid metabolism,0.859675037,0.964788381,0.301932367,0.987727709,NA,NA,0.997942503,0.999991866,X1O2NoCyA vs X19O2NoCyA,Alpha-Linolenic Acid Metabolism
(KEGG) Sphingolipid metabolism,0.22310757,0.652854062,0.902017291,1,0.847154472,0.997416021,0.987941314,0.999991866,X1O2NoCyA vs X19O2NoCyA,Sphingolipid Metabolism
(KEGG) Glycosphingolipid biosynthesis - lacto and neolacto series,0.874824191,0.964788381,NA,NA,NA,NA,0.964788381,0.999991866,X1O2NoCyA vs X19O2NoCyA,Glycosphingolipid Biosynthesis - Lacto And Neolacto Series
(KEGG) Glycosphingolipid biosynthesis - globo and isoglobo series,0.82674772,0.964788381,0.01139201,0.164370425,NA,NA,0.721963508,0.999991866,X1O2NoCyA vs X19O2NoCyA,Glycosphingolipid Biosynthesis - Globo And Isoglobo Series
(KEGG) Glycosphingolipid biosynthesis - ganglio series,0.765557164,0.948558876,0.023736746,0.299270997,NA,NA,0.782606884,0.999991866,X1O2NoCyA vs X19O2NoCyA,Glycosphingolipid Biosynthesis - Ganglio Series
(KEGG) Pyruvate metabolism,0.010524306,0.181836622,0.342281879,0.987727709,0.255555556,0.997416021,0.991534411,0.999991866,X1O2NoCyA vs X19O2NoCyA,Pyruvate Metabolism
(KEGG) Glyoxylate and dicarboxylate metabolism,0.490566038,0.815861164,0.575384615,1,0.442567568,0.997416021,0.995519282,0.999991866,X1O2NoCyA vs X19O2NoCyA,Glyoxylate And Dicarboxylate Metabolism
(KEGG) Propanoate metabolism,0.16,0.614320988,0.159509202,0.804286381,0.563559322,0.997416021,0.988609043,0.999991866,X1O2NoCyA vs X19O2NoCyA,Propanoate Metabolism
(KEGG) Butanoate metabolism,0.738831615,0.930269766,0.816944024,1,0.856097561,0.997416021,0.998745689,0.999991866,X1O2NoCyA vs X19O2NoCyA,Butanoate Metabolism
(KEGG) One carbon pool by folate,0.154639175,0.614320988,0.314285714,0.987727709,0.904958678,0.997416021,0.998966505,0.999991866,X1O2NoCyA vs X19O2NoCyA,One Carbon Pool By Folate
(KEGG) Thiamine metabolism,0.012333571,0.191787033,0.483950617,1,NA,NA,0.191787033,0.999991866,X1O2NoCyA vs X19O2NoCyA,Thiamine Metabolism
(KEGG) Riboflavin metabolism,0.539534884,0.825116599,0.434782609,1,NA,NA,0.825116599,0.999991866,X1O2NoCyA vs X19O2NoCyA,Riboflavin Metabolism
(KEGG) Vitamin B6 metabolism,0.15,0.605844156,0.346698113,0.991033286,NA,NA,0.968809312,0.999991866,X1O2NoCyA vs X19O2NoCyA,Vitamin B6 Metabolism
(KEGG) Nicotinate and nicotinamide metabolism,0.646666667,0.874405797,0.855828221,1,0.60058309,0.997416021,0.997354136,0.999991866,X1O2NoCyA vs X19O2NoCyA,Nicotinate And Nicotinamide Metabolism
(KEGG) Pantothenate and CoA biosynthesis,0.337313433,0.725573644,0.439935065,1,0.523648649,0.997416021,0.99183,0.999991866,X1O2NoCyA vs X19O2NoCyA,Pantothenate And Coa Biosynthesis
(KEGG) Biotin metabolism,0.899817851,0.972519772,NA,NA,NA,NA,0.972519772,0.999991866,X1O2NoCyA vs X19O2NoCyA,Biotin Metabolism
(KEGG) Lipoic acid metabolism,0.722095672,0.920869006,0.418032787,1,NA,NA,0.920869006,0.999991866,X1O2NoCyA vs X19O2NoCyA,Lipoic Acid Metabolism
(KEGG) Folate biosynthesis,0.054313099,0.444509837,0.433121019,1,0.832644628,0.997416021,0.969854659,0.999991866,X1O2NoCyA vs X19O2NoCyA,Folate Biosynthesis
(KEGG) Retinol metabolism,0.144329897,0.603729246,0.777777778,1,NA,NA,0.603729246,0.999991866,X1O2NoCyA vs X19O2NoCyA,Retinol Metabolism
(KEGG) Porphyrin and chlorophyll metabolism,0.343642612,0.732005837,0.031936002,0.322553624,NA,NA,0.544568392,0.999991866,X1O2NoCyA vs X19O2NoCyA,Porphyrin And Chlorophyll Metabolism
(KEGG) Terpenoid backbone biosynthesis,0.088560886,0.505259738,0.008438583,0.142963643,0.874796748,0.997416021,0.842794525,0.999991866,X1O2NoCyA vs X19O2NoCyA,Terpenoid Backbone Biosynthesis
(KEGG) Nitrogen metabolism,0.849658314,0.964788381,0.588114754,1,NA,NA,0.964788381,0.999991866,X1O2NoCyA vs X19O2NoCyA,Nitrogen Metabolism
(KEGG) Sulfur metabolism,0.714285714,0.91945052,0.865633075,1,NA,NA,0.91945052,0.999991866,X1O2NoCyA vs X19O2NoCyA,Sulfur Metabolism
(KEGG) Aminoacyl-tRNA biosynthesis,0.440310078,0.787287904,0.65159129,1,0.383739837,0.997416021,0.994472124,0.999991866,X1O2NoCyA vs X19O2NoCyA,Aminoacyl-Trna Biosynthesis
(KEGG) Metabolism of xenobiotics by cytochrome P450,0.456521739,0.802137067,0.189119171,0.868228921,0.960743802,0.997416021,0.997023236,0.999991866,X1O2NoCyA vs X19O2NoCyA,Metabolism Of Xenobiotics By Cytochrome P450
(KEGG) Drug metabolism - cytochrome P450,0.542435424,0.825116599,0.334217507,0.987727709,0.960743802,0.997416021,0.999722295,0.999991866,X1O2NoCyA vs X19O2NoCyA,Drug Metabolism - Cytochrome P450
(KEGG) Drug metabolism - other enzymes,0.090163934,0.505259738,0.287142857,0.987727709,0.659574468,0.997416021,0.998251353,0.999991866,X1O2NoCyA vs X19O2NoCyA,Drug Metabolism - Other Enzymes
(KEGG) Biosynthesis of unsaturated fatty acids,0.181818182,0.625466639,0.70519263,1,NA,NA,0.625466639,0.999991866,X1O2NoCyA vs X19O2NoCyA,Biosynthesis Of Unsaturated Fatty Acids
(KEGG) Metabolic pathways,3.13E-06,0.000243302,6.60E-11,2.00E-08,0.21664995,0.997416021,0.000178879,0.055631402,X1O2NoCyA vs X19O2NoCyA,Metabolic Pathways
(KEGG) Carbon metabolism,1.16E-09,1.80E-07,2.52E-05,0.001727422,0.06372549,0.997416021,0.001298738,0.134635839,X1O2NoCyA vs X19O2NoCyA,Carbon Metabolism
(KEGG) 2-Oxocarboxylic acid metabolism,0.408945687,0.766262489,0.22,0.935551207,NA,NA,0.943799715,0.999991866,X1O2NoCyA vs X19O2NoCyA,2-Oxocarboxylic Acid Metabolism
(KEGG) Fatty acid metabolism,0.835443038,0.964788381,0.317343173,0.987727709,0.955882353,0.997416021,0.999962081,0.999991866,X1O2NoCyA vs X19O2NoCyA,Fatty Acid Metabolism
(KEGG) Biosynthesis of amino acids,1.15E-05,0.000599147,2.85E-05,0.001727422,0.162436548,0.997416021,0.025951983,0.999991866,X1O2NoCyA vs X19O2NoCyA,Biosynthesis Of Amino Acids
(KEGG) EGFR tyrosine kinase inhibitor resistance,0.338289963,0.725573644,0.994428969,1,0.123130035,0.997416021,0.99183,0.999991866,X1O2NoCyA vs X19O2NoCyA,Egfr Tyrosine Kinase Inhibitor Resistance
(KEGG) Endocrine resistance,0.183014354,0.625466639,0.580645161,1,0.208430913,0.997416021,0.986220845,0.999991866,X1O2NoCyA vs X19O2NoCyA,Endocrine Resistance
(KEGG) Antifolate resistance,0.56744186,0.832033196,0.822764228,1,0.638242894,0.997416021,0.996066613,0.999991866,X1O2NoCyA vs X19O2NoCyA,Antifolate Resistance
(KEGG) Platinum drug resistance,0.705179283,0.91945052,0.292063492,0.987727709,0.153745072,0.997416021,0.999901075,0.999991866,X1O2NoCyA vs X19O2NoCyA,Platinum Drug Resistance
(KEGG) Ribosome biogenesis in eukaryotes,0.998084291,0.998084291,0.866803279,1,0.156069364,0.997416021,0.999971158,0.999991866,X1O2NoCyA vs X19O2NoCyA,Ribosome Biogenesis In Eukaryotes
(KEGG) RNA transport,0.471806674,0.810941292,1.03E-06,0.000156782,0.967741935,0.997416021,0.517019755,0.999991866,X1O2NoCyA vs X19O2NoCyA,Rna Transport
(KEGG) mRNA surveillance pathway,0.082818294,0.505119695,0.915474642,1,0.156501726,0.997416021,0.976506067,0.999991866,X1O2NoCyA vs X19O2NoCyA,Mrna Surveillance Pathway
(KEGG) RNA degradation,0.197014925,0.63327873,0.1984,0.871234783,0.451895044,0.997416021,0.993145647,0.999991866,X1O2NoCyA vs X19O2NoCyA,Rna Degradation
(KEGG) PPAR signaling pathway,0.815823606,0.964788381,0.007695171,0.142963643,0.940878378,0.997416021,0.979470183,0.999991866,X1O2NoCyA vs X19O2NoCyA,Ppar Signaling Pathway
(KEGG) Homologous recombination,0.123778502,0.601486156,0.573487032,1,0.995098039,0.997416021,0.984582662,0.999991866,X1O2NoCyA vs X19O2NoCyA,Homologous Recombination
(KEGG) Fanconi anemia pathway,0.176229508,0.619571281,0.076923077,0.57788852,0.481524249,0.997416021,0.971522298,0.999991866,X1O2NoCyA vs X19O2NoCyA,Fanconi Anemia Pathway
(KEGG) MAPK signaling pathway,0.467948718,0.810941292,0.97752809,1,0.300207039,0.997416021,0.995346383,0.999991866,X1O2NoCyA vs X19O2NoCyA,Mapk Signaling Pathway
(KEGG) ErbB signaling pathway,0.120627262,0.601486156,0.620817844,1,0.326304107,0.997416021,0.984582662,0.999991866,X1O2NoCyA vs X19O2NoCyA,Erbb Signaling Pathway
(KEGG) Ras signaling pathway,0.302325581,0.695332774,0.948837209,1,0.414686825,0.997416021,0.990324083,0.999991866,X1O2NoCyA vs X19O2NoCyA,Ras Signaling Pathway
(KEGG) Rap1 signaling pathway,0.258351893,0.678933416,0.604347826,1,0.165914221,0.997416021,0.989443018,0.999991866,X1O2NoCyA vs X19O2NoCyA,Rap1 Signaling Pathway
(KEGG) Calcium signaling pathway,0.034562212,0.382095176,0.881226054,1,0.990632319,0.997416021,0.961236188,0.999991866,X1O2NoCyA vs X19O2NoCyA,Calcium Signaling Pathway
(KEGG) cGMP-PKG signaling pathway,0.094228504,0.505259738,0.975163399,1,0.95227525,0.997416021,0.976519835,0.999991866,X1O2NoCyA vs X19O2NoCyA,Cgmp-Pkg Signaling Pathway
(KEGG) cAMP signaling pathway,0.199063232,0.63327873,0.64806867,1,0.69924812,0.997416021,0.986727354,0.999991866,X1O2NoCyA vs X19O2NoCyA,Camp Signaling Pathway
(KEGG) Cytokine-cytokine receptor interaction,0.408163265,0.766262489,0.99408284,1,0.512385919,0.997416021,0.993632839,0.999991866,X1O2NoCyA vs X19O2NoCyA,Cytokine-Cytokine Receptor Interaction
(KEGG) Viral protein interaction with cytokine and cytokine receptor,0.585135135,0.832033196,0.715242881,1,0.217905405,0.997416021,0.996066613,0.999991866,X1O2NoCyA vs X19O2NoCyA,Viral Protein Interaction With Cytokine And Cytokine Receptor
(KEGG) Chemokine signaling pathway,0.212716763,0.637126619,0.973484848,1,0.783573807,0.997416021,0.986972133,0.999991866,X1O2NoCyA vs X19O2NoCyA,Chemokine Signaling Pathway
(KEGG) NF-kappa B signaling pathway,0.658959538,0.881967919,0.369175627,1,0.544508671,0.997416021,0.99756245,0.999991866,X1O2NoCyA vs X19O2NoCyA,Nf-Kappa B Signaling Pathway
(KEGG) HIF-1 signaling pathway,6.18E-09,6.41E-07,0.000471983,0.020388764,0.586358636,0.997416021,0.009075859,0.705648065,X1O2NoCyA vs X19O2NoCyA,Hif-1 Signaling Pathway
