"","Pathway.name","Uniquegenes","Uniquemetabol.","Geneexpression","Geneexpression.FDR.BH.","Proteomics","Proteomics.FDR.BH.","Proteomics.1","Proteomics.FDR.BH..1","Combined.pValue.Fisher.","Combined.pValue.Fisher..FDR.BH.","Contrast"
"335","Spinocerebellar ataxia",114,NA,0.948571345,1,"0.997873494",1,"0.997873494",1,0.998545627,1,"X19O2NoCyA - X1O2NoCyA"
"336","Prion disease",211,NA,0.98139275,1,"0.973592671",1,"0.973592671",1,0.998993795,1,"X19O2NoCyA - X1O2NoCyA"
"337","Amyotrophic lateral sclerosis",289,NA,0.996739034,1,"0.960216263",1,"0.960216263",1,0.99906569,1,"X19O2NoCyA - X1O2NoCyA"
"338","Ubiquitin mediated proteolysis",131,NA,0.977314671,1,"0.999014786",1,"0.999014786",1,0.999718151,1,"X19O2NoCyA - X1O2NoCyA"
"339","Alzheimer disease",284,NA,0.989275224,1,"0.987632012",1,"0.987632012",1,0.999734376,1,"X19O2NoCyA - X1O2NoCyA"
"340","Proteasome",45,NA,0.999540097,1,"0.996600066",1,"0.996600066",1,0.999992547,1,"X19O2NoCyA - X1O2NoCyA"
"341","Ribosome biogenesis in eukaryotes",74,NA,0.99912354,1,"0.998501827",1,"0.998501827",1,0.999997181,1,"X19O2NoCyA - X1O2NoCyA"
"342","Biotin metabolism",3,NA,1,1,"-",NA,"-",NA,1,1,"X19O2NoCyA - X1O2NoCyA"
"343","Protein processing in endoplasmic reticulum",153,NA,2.48719e-08,8.53107e-06,"0.076216191",1,"0.076216191",1,3.99672e-08,1.37087e-05,"X1O2PlusCyA - X1O2NoCyA"
"344","NF-kappa B signaling pathway",78,NA,5.39934e-05,0.009259864,"0.405673886",1,"0.405673886",1,0.000256905,0.044059266,"X1O2PlusCyA - X1O2NoCyA"
"345","Herpes simplex virus 1 infection",408,NA,0.000244579,0.022033319,"0.444897285",1,"0.444897285",1,0.001101825,0.12597527,"X1O2PlusCyA - X1O2NoCyA"
"346","Adipocytokine signaling pathway",50,NA,0.000256948,0.022033319,"0.830824592",1,"0.830824592",1,0.002017797,0.17063825,"X1O2PlusCyA - X1O2NoCyA"
"347","Protein export",23,NA,0.003600171,0.154357319,"0.074956697",1,"0.074956697",1,0.002487438,0.17063825,"X1O2PlusCyA - X1O2NoCyA"
"348","Lysosome",114,NA,0.000560832,0.03847305,"0.856757793",1,"0.856757793",1,0.004151824,0.237345966,"X1O2PlusCyA - X1O2NoCyA"
"349","Human T-cell leukemia virus 1 infection",190,NA,0.373715035,1,"0.002743416",0.930017971,"0.002743416",0.930017971,0.0080819,0.396013077,"X1O2PlusCyA - X1O2NoCyA"
"350","Vitamin digestion and absorption",12,NA,0.026097933,0.469907255,"0.056558672",1,"0.056558672",1,0.011097607,0.475809912,"X1O2PlusCyA - X1O2NoCyA"
"351","Insulin resistance",87,NA,0.0028277,0.154357319,"0.715547477",1,"0.715547477",1,0.014574214,0.555439496,"X1O2PlusCyA - X1O2NoCyA"
"352","TNF signaling pathway",82,NA,0.003428078,0.154357319,"0.947208922",1,"0.947208922",1,0.021852994,0.749557695,"X1O2PlusCyA - X1O2NoCyA"
"353","Fatty acid metabolism",47,NA,0.275023798,1,"0.013408109",1,"0.013408109",1,0.024348124,0.759218791,"X1O2PlusCyA - X1O2NoCyA"
"354","beta-Alanine metabolism",22,NA,0.017669375,0.378787235,"0.248315815",1,"0.248315815",1,0.028207682,0.789067772,"X1O2PlusCyA - X1O2NoCyA"
"355","Apoptosis",113,NA,0.008026176,0.264467297,"0.585896649",1,"0.585896649",1,0.029906359,0.789067772,"X1O2PlusCyA - X1O2NoCyA"
"356","Antifolate resistance",24,NA,0.00713038,0.264467297,"0.803757191",1,"0.803757191",1,0.035314134,0.865196293,"X1O2PlusCyA - X1O2NoCyA"
"357","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",15,NA,0.0091517,0.264467297,"0.72714387",1,"0.72714387",1,0.040010443,0.90220194,"X1O2PlusCyA - X1O2NoCyA"
"358","N-Glycan biosynthesis",46,NA,0.009967757,0.264467297,"0.709394853",1,"0.709394853",1,0.042085222,0.90220194,"X1O2PlusCyA - X1O2NoCyA"
"359","Various types of N-glycan biosynthesis",33,NA,0.013203795,0.301926775,"0.609298361",1,"0.609298361",1,0.046843901,0.916982347,"X1O2PlusCyA - X1O2NoCyA"
"360","Cytokine-cytokine receptor interaction",101,NA,0.010023542,0.264467297,"0.85190402",1,"0.85190402",1,0.049211663,0.916982347,"X1O2PlusCyA - X1O2NoCyA"
"361","Malaria",23,NA,0.012314983,0.301717093,"0.720492425",1,"0.720492425",1,0.05079494,0.916982347,"X1O2PlusCyA - X1O2NoCyA"
"362","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",14,NA,0.020297092,0.409523676,"0.528667875",1,"0.528667875",1,0.059389363,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"363","Basal cell carcinoma",41,NA,0.033708858,0.550578009,"0.386415858",1,"0.386415858",1,0.069567789,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"364","Fatty acid degradation",30,NA,0.773845866,1,"0.017895214",1,"0.017895214",1,0.07311269,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"365","Vibrio cholerae infection",43,NA,0.065673025,0.866378756,"0.212348919",1,"0.212348919",1,0.073529431,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"366","Taurine and hypotaurine metabolism",5,NA,0.02352366,0.448256412,"0.72714387",1,"0.72714387",1,0.086695063,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"367","Small cell lung cancer",72,NA,0.310286728,1,"0.065892046",1,"0.065892046",1,0.099978059,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"368","Histidine metabolism",10,NA,0.116632504,1,"0.203012846",1,"0.203012846",1,0.112309314,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"369","Cell adhesion molecules",74,NA,0.139869593,1,"0.182211543",1,"0.182211543",1,0.119009554,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"370","Ascorbate and aldarate metabolism",6,NA,0.055028489,0.754990873,"0.480470943",1,"0.480470943",1,0.122491786,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"371","RIG-I-like receptor signaling pathway",46,NA,0.02739984,0.469907255,"0.975890024",1,"0.975890024",1,0.123578655,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"372","Spliceosome",132,NA,0.999999999,1,"0.026741101",1,"0.026741101",1,0.12358543,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"373","Yersinia infection",113,NA,0.379351246,1,"0.095073275",1,"0.095073275",1,0.155892397,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"374","Mannose type O-glycan biosynthesis",18,NA,0.038482092,0.5999708,"1",1,"1",1,0.163839904,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"375","Hepatocellular carcinoma",128,NA,0.928105254,1,"0.043366742",1,"0.043366742",1,0.169555443,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"376","Human papillomavirus infection",238,NA,0.433786353,1,"0.093808491",1,"0.093808491",1,0.170979243,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"377","Pathogenic Escherichia coli infection",151,NA,0.10814307,1,"0.399491724",1,"0.399491724",1,0.178937824,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"378","Other glycan degradation",15,NA,0.050268612,0.745466545,"0.871116298",1,"0.871116298",1,0.180779835,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"379","PD-L1 expression and PD-1 checkpoint pathway in cancer",77,NA,0.775982962,1,"0.056871416",1,"0.056871416",1,0.18184666,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"380","Antigen processing and presentation",55,NA,0.372299587,1,"0.119400013",1,"0.119400013",1,0.182848218,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"381","IL-17 signaling pathway",55,NA,0.052160924,0.745466545,"0.86452977",1,"0.86452977",1,0.184842663,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"382","Valine, leucine and isoleucine degradation",41,NA,0.348233694,1,"0.132155598",1,"0.132155598",1,0.187703994,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"383","Biotin metabolism",3,NA,0.190218773,1,"-",NA,"-",NA,0.190218773,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"384","Carbohydrate digestion and absorption",26,NA,0.698918583,1,"0.071754093",1,"0.071754093",1,0.200236553,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"385","Tyrosine metabolism",17,NA,0.072375345,0.886597977,"0.7077777",1,"0.7077777",1,0.203443448,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"386","Type I diabetes mellitus",31,NA,0.233911376,1,"0.219603919",1,"0.219603919",1,0.203865799,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"387","Natural killer cell mediated cytotoxicity",81,NA,0.503928335,1,"0.102212483",1,"0.102212483",1,0.20428097,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"388","Calcium signaling pathway",114,NA,0.116391896,1,"0.456773146",1,"0.456773146",1,0.209169081,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"389","Fatty acid biosynthesis",13,NA,0.16959147,1,"0.322795767",1,"0.322795767",1,0.213778392,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"390","Cytosolic DNA-sensing pathway",41,NA,0.120539716,1,"0.455938268",1,"0.455938268",1,0.214403324,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"391","Osteoclast differentiation",91,NA,0.149903635,1,"0.423162314",1,"0.423162314",1,0.23836826,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"392","Allograft rejection",28,NA,0.242965096,1,"0.267290067",1,"0.267290067",1,0.242510788,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"393","Proximal tubule bicarbonate reclamation",16,NA,0.834087938,1,"0.077865021",1,"0.077865021",1,0.242522049,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"394","Cell cycle",117,NA,0.999999091,1,"0.066340306",1,"0.066340306",1,0.246318582,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"395","Cortisol synthesis and secretion",38,NA,0.123124698,1,"0.547094848",1,"0.547094848",1,0.249079731,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"396","Lysine degradation",50,NA,0.131785861,1,"0.530056377",1,"0.530056377",1,0.255759628,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"397","Viral protein interaction with cytokine and cytokine receptor",29,NA,0.08213483,0.971456785,"0.85247884",1,"0.85247884",1,0.256196612,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"398","Ribosome biogenesis in eukaryotes",74,NA,0.391961762,1,"0.181894763",1,"0.181894763",1,0.25958213,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"399","Thyroid hormone synthesis",47,NA,0.117862136,1,"0.607329226",1,"0.607329226",1,0.260335088,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"400","Glycosaminoglycan degradation",17,NA,0.072375345,0.886597977,"0.9930453",1,"0.9930453",1,0.261101516,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"401","Citrate cycle (TCA cycle)",29,NA,0.999926885,1,"0.073528619",1,"0.073528619",1,0.265430207,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"402","Phospholipase D signaling pathway",97,NA,0.546129761,1,"0.134718708",1,"0.134718708",1,0.265562401,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"403","Prostate cancer",72,NA,0.565993076,1,"0.130611301",1,"0.130611301",1,0.266477998,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"404","RNA transport",157,NA,0.968088716,1,"0.078273713",1,"0.078273713",1,0.271275822,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"405","Graft-versus-host disease",29,NA,0.285681498,1,"0.267290067",1,"0.267290067",1,0.272780098,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"406","Insulin signaling pathway",113,NA,0.112857204,1,"0.68247972",1,"0.68247972",1,0.274482472,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"407","B cell receptor signaling pathway",72,NA,0.703102466,1,"0.117552093",1,"0.117552093",1,0.288710967,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"408","Coronavirus disease - COVID-19",169,NA,0.090454899,1,"0.933514624",1,"0.933514624",1,0.293153935,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"409","Selenocompound metabolism",14,NA,0.219389691,1,"0.386415858",1,"0.386415858",1,0.293980513,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"410","Butanoate metabolism",17,NA,0.169662155,1,"0.507814765",1,"0.507814765",1,0.297377999,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"411","Gastric cancer",100,NA,0.811264667,1,"0.107979932",1,"0.107979932",1,0.300904486,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"412","Renal cell carcinoma",56,NA,0.825342942,1,"0.107979932",1,"0.107979932",1,0.304592944,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"413","Axon guidance",114,NA,0.59016021,1,"0.159101445",1,"0.159101445",1,0.316011769,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"414","Sulfur relay system",8,NA,0.157843084,1,"0.620957016",1,"0.620957016",1,0.325665189,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"415","C-type lectin receptor signaling pathway",81,NA,0.405685054,1,"0.251644895",1,"0.251644895",1,0.335045966,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"416","Tryptophan metabolism",23,NA,0.471462686,1,"0.219603919",1,"0.219603919",1,0.338336511,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"417","Lipid and atherosclerosis",157,NA,0.206784259,1,"0.501114743",1,"0.501114743",1,0.338535108,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"418","Mitophagy - animal",64,NA,0.826856295,1,"0.125581262",1,"0.125581262",1,0.339022327,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"419","Insulin secretion",47,NA,0.139383115,1,"0.758032258",1,"0.758032258",1,0.343126928,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"420","Shigellosis",203,NA,0.534638661,1,"0.198032448",1,"0.198032448",1,0.343618705,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"421","Amino sugar and nucleotide sugar metabolism",42,NA,0.298542777,1,"0.358917269",1,"0.358917269",1,0.346477084,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"422","Phenylalanine metabolism",10,NA,0.116632504,1,"0.935507611",1,"0.935507611",1,0.350833475,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"423","Biosynthesis of cofactors",109,NA,0.460863755,1,"0.241364349",1,"0.241364349",1,0.35552169,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"424","Chronic myeloid leukemia",68,NA,0.769473222,1,"0.150127513",1,"0.150127513",1,0.364846216,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"425","Arginine and proline metabolism",32,NA,0.154968553,1,"0.758032258",1,"0.758032258",1,0.369042986,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"426","Cysteine and methionine metabolism",41,NA,0.120539716,1,"0.974909145",1,"0.974909145",1,0.369137442,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"427","Neurotrophin signaling pathway",99,NA,0.255573265,1,"0.460462815",1,"0.460462815",1,0.369494287,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"428","Longevity regulating pathway",73,NA,0.123201854,1,"0.957842937",1,"0.957842937",1,0.370191489,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"429","Notch signaling pathway",49,NA,0.1820719,1,"0.658833178",1,"0.658833178",1,0.374336223,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"430","Breast cancer",103,NA,0.829037574,1,"0.14546865",1,"0.14546865",1,0.37570012,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"431","Glycosaminoglycan biosynthesis - keratan sulfate",11,NA,0.166560597,1,"0.72714387",1,"0.72714387",1,0.376787423,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"432","Fatty acid elongation",21,NA,0.555727918,1,"0.219603919",1,"0.219603919",1,0.37873978,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"433","Neuroactive ligand-receptor interaction",82,NA,0.127215165,1,"0.971231874",1,"0.971231874",1,0.3819179,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"434","Central carbon metabolism in cancer",54,NA,0.984957442,1,"0.125581262",1,"0.125581262",1,0.38220383,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"435","SNARE interactions in vesicular transport",32,NA,0.127781936,1,"0.98742295",1,"0.98742295",1,0.387367651,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"436","African trypanosomiasis",19,NA,0.219389691,1,"0.577276131",1,"0.577276131",1,0.388347188,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"437","Human cytomegalovirus infection",169,NA,0.366680318,1,"0.351741851",1,"0.351741851",1,0.393137145,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"438","Linoleic acid metabolism",8,NA,0.395098985,1,"-",NA,"-",NA,0.395098985,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"439","Nicotine addiction",7,NA,0.395098985,1,"-",NA,"-",NA,0.395098985,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"440","Oocyte meiosis",100,NA,0.999732121,1,"0.130612084",1,"0.130612084",1,0.396404831,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"441","Nicotinate and nicotinamide metabolism",24,NA,0.202691567,1,"0.672003482",1,"0.672003482",1,0.407751344,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"442","ABC transporters",25,NA,0.285681498,1,"0.480470943",1,"0.480470943",1,0.409844955,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"443","Glycosphingolipid biosynthesis - lacto and neolacto series",15,NA,0.412485192,1,"-",NA,"-",NA,0.412485192,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"444","MAPK signaling pathway",196,NA,0.146139777,1,"0.962150619",1,"0.962150619",1,0.416450814,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"445","Autoimmune thyroid disease",28,NA,0.445171506,1,"0.322795767",1,"0.322795767",1,0.422480936,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"446","Human immunodeficiency virus 1 infection",172,NA,0.394379325,1,"0.370278435",1,"0.370278435",1,0.426983732,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"447","Sphingolipid metabolism",36,NA,0.179132699,1,"0.845787182",1,"0.845787182",1,0.437421565,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"448","Vitamin B6 metabolism",6,NA,0.217992158,1,"0.699238443",1,"0.699238443",1,0.439155595,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"449","Th1 and Th2 cell differentiation",73,NA,0.362590241,1,"0.423022329",1,"0.423022329",1,0.44094953,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"450","Regulation of actin cytoskeleton",152,NA,0.88289417,1,"0.180121371",1,"0.180121371",1,0.451429006,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"451","VEGF signaling pathway",48,NA,0.639188944,1,"0.249152169",1,"0.249152169",1,0.451846596,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"452","Other types of O-glycan biosynthesis",34,NA,0.262191958,1,"0.620957016",1,"0.620957016",1,0.45833794,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"453","Propanoate metabolism",31,NA,0.512717319,1,"0.326352458",1,"0.326352458",1,0.466474305,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"454","Legionellosis",40,NA,0.682967469,1,"0.246142657",1,"0.246142657",1,0.467868532,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"455","Purine metabolism",92,NA,0.203020564,1,"0.85077019",1,"0.85077019",1,0.476037491,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"456","Phenylalanine, tyrosine and tryptophan biosynthesis",3,NA,0.190218773,1,"0.925619864",1,"0.925619864",1,0.481881818,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"457","Sulfur metabolism",7,NA,0.306128022,1,"0.584653207",1,"0.584653207",1,0.486909542,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"458","T cell receptor signaling pathway",78,NA,0.646814116,1,"0.277939157",1,"0.277939157",1,0.488277695,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"459","RNA degradation",73,NA,0.999847014,1,"0.180440009",1,"0.180440009",1,0.489370436,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"460","Glycerophospholipid metabolism",65,NA,0.278837933,1,"0.653014311",1,"0.653014311",1,0.492227317,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"461","Toll-like receptor signaling pathway",67,NA,0.189503094,1,"0.966835862",1,"0.966835862",1,0.494154001,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"462","Cocaine addiction",26,NA,0.285681498,1,"0.648895422",1,"0.648895422",1,0.497805366,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"463","Glycine, serine and threonine metabolism",27,NA,0.196684311,1,"0.971231874",1,"0.971231874",1,0.507240193,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"464","Bile secretion",32,NA,0.314862789,1,"0.609298361",1,"0.609298361",1,0.508594679,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"465","Steroid hormone biosynthesis",18,NA,0.329770661,1,"0.584653207",1,"0.584653207",1,0.510170873,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"466","Retinol metabolism",17,NA,0.971136519,1,"0.203012846",1,"0.203012846",1,0.517285459,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"467","Transcriptional misregulation in cancer",121,NA,0.284980324,1,"0.69567391",1,"0.69567391",1,0.519068851,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"468","Circadian rhythm",22,NA,0.25252864,1,"0.792134002",1,"0.792134002",1,0.521946359,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"469","Glucagon signaling pathway",83,NA,0.288805795,1,"0.698278646",1,"0.698278646",1,0.524563458,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"470","RNA polymerase",31,NA,0.444274408,1,"0.455938268",1,"0.455938268",1,0.52599415,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"471","Influenza A",128,NA,0.336636976,1,"0.606607789",1,"0.606607789",1,0.528613931,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"472","Galactose metabolism",24,NA,0.739030826,1,"0.276673115",1,"0.276673115",1,0.529032123,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"473","Thyroid cancer",30,NA,0.741916496,1,"0.276673115",1,"0.276673115",1,0.530297874,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"474","Aminoacyl-tRNA biosynthesis",44,NA,0.663647333,1,"0.310670771",1,"0.310670771",1,0.531732809,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"475","Mucin type O-glycan biosynthesis",19,NA,0.536601021,1,"0.3843153",1,"0.3843153",1,0.53180884,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"476","Alanine, aspartate and glutamate metabolism",23,NA,0.471462686,1,"0.442139278",1,"0.442139278",1,0.535314694,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"477","Biosynthesis of unsaturated fatty acids",22,NA,0.471462686,1,"0.442139278",1,"0.442139278",1,0.535314694,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"478","Hypertrophic cardiomyopathy",44,NA,0.232636891,1,"0.911446177",1,"0.911446177",1,0.540903675,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"479","Endometrial cancer",52,NA,0.759600291,1,"0.284395296",1,"0.284395296",1,0.547055995,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"480","Platelet activation",87,NA,0.973245494,1,"0.224555906",1,"0.224555906",1,0.550904822,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"481","Cushing syndrome",107,NA,0.415346962,1,"0.526254407",1,"0.526254407",1,0.550950663,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"482","mRNA surveillance pathway",81,NA,0.996685232,1,"0.221513803",1,"0.221513803",1,0.554287039,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"483","Leukocyte transendothelial migration",76,NA,0.795877628,1,"0.277939157",1,"0.277939157",1,0.554930171,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"484","Glycolysis / Gluconeogenesis",48,NA,0.8838844,1,"0.250829502",1,"0.250829502",1,0.55568202,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"485","Pyrimidine metabolism",43,NA,0.223950122,1,"0.999896182",1,"0.999896182",1,0.559019048,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"486","Phagosome",111,NA,0.783808158,1,"0.290506165",1,"0.290506165",1,0.56463531,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"487","Signaling pathways regulating pluripotency of stem cells",96,NA,0.806182217,1,"0.283126598",1,"0.283126598",1,0.565449272,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"488","Pertussis",48,NA,0.244672158,1,"0.963443644",1,"0.963443644",1,0.576372798,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"489","Epstein-Barr virus infection",175,NA,0.393363966,1,"0.600102539",1,"0.600102539",1,0.576850712,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"490","Pyruvate metabolism",35,NA,0.831468913,1,"0.284395296",1,"0.284395296",1,0.577438128,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"491","Aldosterone synthesis and secretion",59,NA,0.357430877,1,"0.672299545",1,"0.672299545",1,0.582936751,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"492","alpha-Linolenic acid metabolism",10,NA,0.295641264,1,"0.817373027",1,"0.817373027",1,0.584855865,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"493","Cellular senescence",135,NA,0.978373022,1,"0.250997745",1,"0.250997745",1,0.590392011,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"494","Terpenoid backbone biosynthesis",20,NA,0.555727918,1,"0.442139278",1,"0.442139278",1,0.59058816,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"495","Pantothenate and CoA biosynthesis",16,NA,0.536601021,1,"0.458001193",1,"0.458001193",1,0.590665027,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"496","cAMP signaling pathway",109,NA,0.501668129,1,"0.491773821",1,"0.491773821",1,0.591987093,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"497","Type II diabetes mellitus",28,NA,0.586005886,1,"0.429394661",1,"0.429394661",1,0.598824911,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"498","Rheumatoid arthritis",62,NA,0.552140037,1,"0.455938268",1,"0.455938268",1,0.598982146,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"499","Intestinal immune network for IgA production",35,NA,0.340871896,1,"0.746146089",1,"0.746146089",1,0.60255297,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"500","Cholesterol metabolism",28,NA,0.91765971,1,"0.281460156",1,"0.281460156",1,0.607922768,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"501","AMPK signaling pathway",94,NA,0.264261076,1,"0.983431977",1,"0.983431977",1,0.610081234,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"502","TGF-beta signaling pathway",68,NA,0.436464726,1,"0.608317247",1,"0.608317247",1,0.617602249,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
"503","Arrhythmogenic right ventricular cardiomyopathy",37,NA,0.570597404,1,"0.486768229",1,"0.486768229",1,0.633555471,0.999484377,"X1O2PlusCyA - X1O2NoCyA"
