Pathway.name,Unique.genes,Phosphoproteomics,PhosphoproteomicsFDR_BH,Proteomics,ProteomicsFDR_BH,Transcriptomics,TranscriptomicsFDR_BH,Combined,CombinedFDR_BH,Contrast
Pathways of neurodegeneration - multiple diseases,380,0.007268335,0.5514195,0.973211974,1.00E+00,0.999999744,1,0.943609832,1,X1O2NoCyA - X19O2NoCyA
Basal cell carcinoma,43,0.55118886,1,0.132844142,1.00E+00,0.101384317,0.860669327,0.129413282,1,X1O2NoCyA - X19O2NoCyA
Biosynthesis of amino acids,66,0.776208538,1,0.754822223,1.00E+00,0.013340752,0.470352547,0.536765596,1,X1O2NoCyA - X19O2NoCyA
Tyrosine metabolism,20,NA,NA,1,1.00E+00,0.032110729,0.683558826,0.999997018,1,X1O2NoCyA - X19O2NoCyA
Neutrophil extracellular trap formation,138,0.936236144,1,0.896645788,1.00E+00,0.009855218,0.470352547,0.821482578,1,X1O2NoCyA - X19O2NoCyA
Ubiquitin mediated proteolysis,131,0.03421617,0.7975,0.494593465,1.00E+00,0.490117892,1,0.112581662,1,X1O2NoCyA - X19O2NoCyA
ABC transporters,29,0.218827415,1,0.141310322,1.00E+00,0.28230866,0.991424631,0.076566236,1,X1O2NoCyA - X19O2NoCyA
Estrogen signaling pathway,84,0.076440187,1,0.583560811,1.00E+00,0.196041795,0.991424631,0.129301521,1,X1O2NoCyA - X19O2NoCyA
Toxoplasmosis,94,0.47727759,1,0.048260035,6.82E-01,0.383160293,0.991424631,0.109108254,1,X1O2NoCyA - X19O2NoCyA
RNA polymerase,31,0.072993932,1,0.171207755,1.00E+00,0.712736748,1,0.087943258,1,X1O2NoCyA - X19O2NoCyA
Pentose phosphate pathway,26,0.245440504,1,0.988847007,1.00E+00,0.040427156,0.7533655,0.640635064,1,X1O2NoCyA - X19O2NoCyA
Axon guidance,121,0.012034033,0.5514195,0.957942081,1.00E+00,0.881913779,1,0.539485557,1,X1O2NoCyA - X19O2NoCyA
Spinocerebellar ataxia,121,0.010815593,0.5514195,0.951751669,1.00E+00,0.9994892,1,0.799233986,1,X1O2NoCyA - X19O2NoCyA
Prion disease,222,0.012034033,0.5514195,0.96450583,1.00E+00,0.99995803,1,0.886574144,1,X1O2NoCyA - X19O2NoCyA
Folate biosynthesis,15,1,1,0.035760461,6.06E-01,0.335544191,0.991424631,0.997718057,1,X1O2NoCyA - X19O2NoCyA
Inflammatory mediator regulation of TRP channels,64,0.892579553,1,0.180153735,1.00E+00,0.075941872,0.846209902,0.369603095,1,X1O2NoCyA - X19O2NoCyA
Progesterone-mediated oocyte maturation,81,0.020018528,0.5514195,0.665230587,1.00E+00,0.994466512,1,0.463982261,1,X1O2NoCyA - X19O2NoCyA
Sphingolipid metabolism,38,0.52363579,1,0.486997516,1.00E+00,0.052816179,0.755748916,0.272402261,1,X1O2NoCyA - X19O2NoCyA
Galactose metabolism,24,0.709779881,1,0.356104733,1.00E+00,0.056186388,0.755748916,0.312517368,1,X1O2NoCyA - X19O2NoCyA
Choline metabolism in cancer,72,0.404919862,1,0.142199303,1.00E+00,0.247185459,0.991424631,0.13215586,1,X1O2NoCyA - X19O2NoCyA
Fat digestion and absorption,21,NA,NA,0.058181549,7.59E-01,0.892728284,1,0.236528082,1,X1O2NoCyA - X19O2NoCyA
Biosynthesis of cofactors,111,1,1,0.646789636,1.00E+00,0.02273947,0.527115666,0.999866105,1,X1O2NoCyA - X19O2NoCyA
Circadian rhythm,23,0.074533347,1,0.276290818,1.00E+00,0.718896414,1,0.133843128,1,X1O2NoCyA - X19O2NoCyA
Proteasome,45,0.015114988,0.5514195,0.997323435,1.00E+00,1,1,0.99773265,1,X1O2NoCyA - X19O2NoCyA
alpha-Linolenic acid metabolism,11,NA,NA,0.546604307,1.00E+00,0.099661212,0.860669327,0.289803629,1,X1O2NoCyA - X19O2NoCyA
Glycolysis / Gluconeogenesis,51,0.715248792,1,0.386695999,1.00E+00,0.055599736,0.755748916,0.334457187,1,X1O2NoCyA - X19O2NoCyA
Caffeine metabolism,1,NA,NA,0.231679389,1.00E+00,0.240452354,0.991424631,0.161018332,1,X1O2NoCyA - X19O2NoCyA
Insulin signaling pathway,114,0.907342701,1,0.031211749,5.88E-01,0.588769646,1,0.399198237,1,X1O2NoCyA - X19O2NoCyA
Chemical carcinogenesis - DNA adducts,20,1,1,0.206317701,1.00E+00,0.083880865,0.846209902,0.999054859,1,X1O2NoCyA - X19O2NoCyA
Insulin secretion,49,0.55118886,1,0.931216696,1.00E+00,0.033879009,0.683558826,0.635050929,1,X1O2NoCyA - X19O2NoCyA
Huntington disease,255,0.018302273,0.5514195,0.983906377,1.00E+00,0.999999913,1,0.97902133,1,X1O2NoCyA - X19O2NoCyA
Apoptosis,118,0.06967397,1,0.546172224,1.00E+00,0.478845397,1,0.180308503,1,X1O2NoCyA - X19O2NoCyA
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,15,NA,NA,0.231679389,1.00E+00,0.282227085,0.991424631,0.17756593,1,X1O2NoCyA - X19O2NoCyA
Sulfur relay system,8,1,1,0.842331213,1.00E+00,0.023051705,0.527115666,0.999974863,1,X1O2NoCyA - X19O2NoCyA
GnRH signaling pathway,74,0.069938361,1,0.522786648,1.00E+00,0.580363777,1,0.196950788,1,X1O2NoCyA - X19O2NoCyA
Glycerolipid metabolism,44,0.7735513,1,0.035406485,6.06E-01,0.788763986,1,0.354792358,1,X1O2NoCyA - X19O2NoCyA
Phosphatidylinositol signaling system,84,0.518592002,1,0.200175954,1.00E+00,0.214321069,0.991424631,0.205956012,1,X1O2NoCyA - X19O2NoCyA
AMPK signaling pathway,97,0.99491172,1,0.229382944,1.00E+00,0.100717616,0.860669327,0.761596742,1,X1O2NoCyA - X19O2NoCyA
"Neomycin, kanamycin and gentamicin biosynthesis",3,NA,NA,0.546604307,1.00E+00,0.145594625,0.991424631,0.330809669,1,X1O2NoCyA - X19O2NoCyA
Small cell lung cancer,75,0.566774037,1,0.758234677,1.00E+00,0.05728709,0.755748916,0.483064049,1,X1O2NoCyA - X19O2NoCyA
Chemical carcinogenesis - receptor activation,123,0.080411674,1,0.968990989,1.00E+00,0.316482839,0.991424631,0.5433277,1,X1O2NoCyA - X19O2NoCyA
Protein processing in endoplasmic reticulum,157,0.027019863,0.6822516,0.945306633,1.00E+00,0.974992585,1,0.702535072,1,X1O2NoCyA - X19O2NoCyA
Gastric cancer,105,0.453189114,1,0.220303446,1.00E+00,0.259639558,0.991424631,0.204344047,1,X1O2NoCyA - X19O2NoCyA
Hippo signaling pathway - multiple species,21,0.709779881,1,0.141310322,1.00E+00,0.263883247,0.991424631,0.281396732,1,X1O2NoCyA - X19O2NoCyA
Pathways in cancer,364,0.344824443,1,0.225431357,1.00E+00,0.348711281,0.991424631,0.18372461,1,X1O2NoCyA - X19O2NoCyA
Fanconi anemia pathway,53,0.589368761,1,0.355746557,1.00E+00,0.136940021,0.991424631,0.303783473,1,X1O2NoCyA - X19O2NoCyA
Signaling pathways regulating pluripotency of stem cells,99,0.404919862,1,0.431313329,1.00E+00,0.173199418,0.991424631,0.26342824,1,X1O2NoCyA - X19O2NoCyA
Retinol metabolism,19,NA,NA,0.328560228,1.00E+00,0.296466942,0.991424631,0.256399801,1,X1O2NoCyA - X19O2NoCyA
"Glycine, serine and threonine metabolism",29,1,1,0.110414199,1.00E+00,0.28230866,0.991424631,0.999192864,1,X1O2NoCyA - X19O2NoCyA
Phenylalanine metabolism,11,NA,NA,1,1.00E+00,0.099661212,0.860669327,0.999999271,1,X1O2NoCyA - X19O2NoCyA
Various types of N-glycan biosynthesis,34,0.389910667,1,0.110414199,1.00E+00,0.771791287,1,0.244587461,1,X1O2NoCyA - X19O2NoCyA
Antifolate resistance,25,0.709779881,1,0.221387809,1.00E+00,0.212327414,0.991424631,0.328649721,1,X1O2NoCyA - X19O2NoCyA
Glycosphingolipid biosynthesis - globo and isoglobo series,11,NA,NA,0.136045602,1.00E+00,0.782716203,1,0.292505853,1,X1O2NoCyA - X19O2NoCyA
Biosynthesis of unsaturated fatty acids,22,1,1,0.206324818,1.00E+00,0.166487816,0.991424631,0.99945342,1,X1O2NoCyA - X19O2NoCyA
Steroid biosynthesis,19,0.389910667,1,0.663496823,1.00E+00,0.135708761,0.991424631,0.369654295,1,X1O2NoCyA - X19O2NoCyA
Breast cancer,107,0.389351843,1,0.216256687,1.00E+00,0.420877659,1,0.22037755,1,X1O2NoCyA - X19O2NoCyA
Cortisol synthesis and secretion,39,0.390922785,1,0.914765435,1.00E+00,0.102878841,0.860669327,0.587601128,1,X1O2NoCyA - X19O2NoCyA
Adherens junction,63,0.057004457,1,0.704401145,1.00E+00,0.945201708,1,0.471707516,1,X1O2NoCyA - X19O2NoCyA
Inflammatory bowel disease,41,0.7735513,1,0.075465307,8.53E-01,0.65078715,1,0.385316089,1,X1O2NoCyA - X19O2NoCyA
Primary immunodeficiency,28,0.916262098,1,0.805211041,1.00E+00,0.052574744,0.755748916,0.799446065,1,X1O2NoCyA - X19O2NoCyA
Apoptosis - multiple species,28,0.072993932,1,0.791380984,1.00E+00,0.697555769,1,0.410233451,1,X1O2NoCyA - X19O2NoCyA
Nicotine addiction,12,NA,NA,NA,NA,0.383707498,0.991424631,0.383707498,1,X1O2NoCyA - X19O2NoCyA
Fluid shear stress and atherosclerosis,96,0.821204927,1,0.064571148,8.11E-01,0.819580369,1,0.487812209,1,X1O2NoCyA - X19O2NoCyA
Type II diabetes mellitus,29,1,1,0.527145683,1.00E+00,0.083615362,0.846209902,0.999884581,1,X1O2NoCyA - X19O2NoCyA
Phagosome,119,0.345542269,1,0.252399055,1.00E+00,0.527091583,1,0.252215002,1,X1O2NoCyA - X19O2NoCyA
Thyroid hormone synthesis,50,0.312283245,1,0.752746683,1.00E+00,0.196580449,0.991424631,0.418390666,1,X1O2NoCyA - X19O2NoCyA
Malaria,24,NA,NA,0.182619205,1.00E+00,0.745054796,1,0.329010549,1,X1O2NoCyA - X19O2NoCyA
Cocaine addiction,32,0.210134509,1,1,1.00E+00,0.222258896,0.991424631,0.999531633,1,X1O2NoCyA - X19O2NoCyA
Lipid and atherosclerosis,159,0.456699118,1,0.209285884,1.00E+00,0.489095228,1,0.271854773,1,X1O2NoCyA - X19O2NoCyA
Long-term potentiation,52,0.172345049,1,0.352202698,1.00E+00,0.796732149,1,0.292462847,1,X1O2NoCyA - X19O2NoCyA
African trypanosomiasis,20,1,1,0.237298215,1.00E+00,0.205917598,0.991424631,0.999650377,1,X1O2NoCyA - X19O2NoCyA
Oocyte meiosis,108,0.098252511,1,0.501165633,1.00E+00,0.998722479,1,0.624422565,1,X1O2NoCyA - X19O2NoCyA
Relaxin signaling pathway,88,0.312283245,1,0.873518817,1.00E+00,0.181477496,0.991424631,0.528406778,1,X1O2NoCyA - X19O2NoCyA
Endometrial cancer,52,0.260326327,1,0.354286912,1.00E+00,0.544435565,1,0.267338179,1,X1O2NoCyA - X19O2NoCyA
"Valine, leucine and isoleucine biosynthesis",3,NA,NA,1,1.00E+00,0.145594625,0.991424631,0.999999596,1,X1O2NoCyA - X19O2NoCyA
Lipoic acid metabolism,3,NA,NA,1,1.00E+00,0.145594625,0.991424631,0.999999596,1,X1O2NoCyA - X19O2NoCyA
MicroRNAs in cancer,141,0.680626798,1,0.745927751,1.00E+00,0.102776275,0.860669327,0.598699764,1,X1O2NoCyA - X19O2NoCyA
Circadian entrainment,60,0.18135032,1,0.402329017,1.00E+00,0.725851935,1,0.299392897,1,X1O2NoCyA - X19O2NoCyA
Neurotrophin signaling pathway,100,0.351725544,1,0.164357235,1.00E+00,0.916156874,1,0.362220793,1,X1O2NoCyA - X19O2NoCyA
Complement and coagulation cascades,36,1,1,0.058181549,7.59E-01,0.910337158,1,0.999877641,1,X1O2NoCyA - X19O2NoCyA
Aldosterone synthesis and secretion,62,0.814287539,1,0.210905751,1.00E+00,0.308644999,0.991424631,0.448979827,1,X1O2NoCyA - X19O2NoCyA
Amphetamine addiction,48,0.379491421,1,0.355746557,1.00E+00,0.395133324,0.991424631,0.293287757,1,X1O2NoCyA - X19O2NoCyA
Central carbon metabolism in cancer,55,0.896150856,1,0.497423513,1.00E+00,0.120155595,0.958450445,0.644129563,1,X1O2NoCyA - X19O2NoCyA
IL-17 signaling pathway,60,0.172345049,1,0.522786648,1.00E+00,0.60147855,1,0.314437627,1,X1O2NoCyA - X19O2NoCyA
Autophagy - other,30,0.069938361,1,0.894674571,1.00E+00,0.881098686,1,0.617882245,1,X1O2NoCyA - X19O2NoCyA
Th1 and Th2 cell differentiation,75,0.896150856,1,0.07352791,8.53E-01,0.85597721,1,0.615391257,1,X1O2NoCyA - X19O2NoCyA
Human T-cell leukemia virus 1 infection,192,0.470079392,1,0.43214475,1.00E+00,0.279936,0.991424631,0.350196266,1,X1O2NoCyA - X19O2NoCyA
mTOR signaling pathway,131,0.440265477,1,0.186774685,1.00E+00,0.707100091,1,0.320392636,1,X1O2NoCyA - X19O2NoCyA
Peroxisome,70,1,1,0.813618759,1.00E+00,0.071551006,0.846209902,0.999985759,1,X1O2NoCyA - X19O2NoCyA
Mannose type O-glycan biosynthesis,19,NA,NA,0.231679389,1.00E+00,0.70525424,1,0.361093375,1,X1O2NoCyA - X19O2NoCyA
Glycosaminoglycan degradation,17,NA,NA,0.42218518,1.00E+00,0.389555272,0.991424631,0.37755318,1,X1O2NoCyA - X19O2NoCyA
Prostate cancer,73,0.296233701,1,0.652054623,1.00E+00,0.314593825,0.991424631,0.388580655,1,X1O2NoCyA - X19O2NoCyA
Drug metabolism - cytochrome P450,25,1,1,0.794645636,1.00E+00,0.077998031,0.846209902,0.999983967,1,X1O2NoCyA - X19O2NoCyA
Amino sugar and nucleotide sugar metabolism,44,0.122839112,1,0.951182856,1.00E+00,0.53270028,1,0.635478281,1,X1O2NoCyA - X19O2NoCyA
Butanoate metabolism,17,1,1,0.161781214,1.00E+00,0.389555272,0.991424631,0.999688249,1,X1O2NoCyA - X19O2NoCyA
"Growth hormone synthesis, secretion and action",88,0.302261579,1,0.98673499,1.00E+00,0.214321069,0.991424631,0.787113297,1,X1O2NoCyA - X19O2NoCyA
Carbohydrate digestion and absorption,30,1,1,0.609942032,1.00E+00,0.112478935,0.918577973,0.999948692,1,X1O2NoCyA - X19O2NoCyA
Platinum drug resistance,59,0.715248792,1,0.24711393,1.00E+00,0.391859451,0.991424631,0.429818253,1,X1O2NoCyA - X19O2NoCyA
Cholinergic synapse,73,0.379491421,1,0.522786648,1.00E+00,0.363086698,0.991424631,0.382501174,1,X1O2NoCyA - X19O2NoCyA
Glucagon signaling pathway,85,0.843059811,1,0.486737256,1.00E+00,0.178581753,0.991424631,0.611792126,1,X1O2NoCyA - X19O2NoCyA
Primary bile acid biosynthesis,9,NA,NA,1,1.00E+00,0.202088017,0.991424631,0.999999775,1,X1O2NoCyA - X19O2NoCyA
AGE-RAGE signaling pathway in diabetic complications,74,1,1,0.976510164,1.00E+00,0.081676999,0.846209902,0.999999575,1,X1O2NoCyA - X19O2NoCyA
TNF signaling pathway,84,0.529452029,1,0.311819062,1.00E+00,0.485118579,1,0.38795934,1,X1O2NoCyA - X19O2NoCyA
Salmonella infection,227,0.199218663,1,0.469014063,1.00E+00,0.858854956,1,0.424672545,1,X1O2NoCyA - X19O2NoCyA
Vitamin digestion and absorption,12,1,1,0.585945956,1.00E+00,0.138323043,0.991424631,0.999950369,1,X1O2NoCyA - X19O2NoCyA
Fc epsilon RI signaling pathway,53,0.133508948,1,0.811450754,1.00E+00,0.749385464,1,0.541835755,1,X1O2NoCyA - X19O2NoCyA
Drug metabolism - other enzymes,39,0.474751771,1,0.941129391,1.00E+00,0.182199915,0.991424631,0.73407014,1,X1O2NoCyA - X19O2NoCyA
Spliceosome,133,0.084358734,1,0.967330511,1.00E+00,0.999997748,1,0.980363793,1,X1O2NoCyA - X19O2NoCyA
Th17 cell differentiation,89,0.707955866,1,0.176087984,1.00E+00,0.676687942,1,0.472565324,1,X1O2NoCyA - X19O2NoCyA
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,25,1,1,0.136045602,1.00E+00,0.621185676,1,0.999825497,1,X1O2NoCyA - X19O2NoCyA
Renal cell carcinoma,56,0.500353969,1,0.279391609,1.00E+00,0.609621386,1,0.392831113,1,X1O2NoCyA - X19O2NoCyA
Pantothenate and CoA biosynthesis,16,1,1,0.418897707,1.00E+00,0.205917598,0.991424631,0.999900909,1,X1O2NoCyA - X19O2NoCyA
Phototransduction,14,NA,NA,0.231115749,1.00E+00,0.97212444,1,0.634352874,1,X1O2NoCyA - X19O2NoCyA
Epstein-Barr virus infection,176,0.864714121,1,0.259329654,1.00E+00,0.40914691,1,0.584959123,1,X1O2NoCyA - X19O2NoCyA
Viral protein interaction with cytokine and cytokine receptor,30,0.389910667,1,0.842331213,1.00E+00,0.28230866,0.991424631,0.597559699,1,X1O2NoCyA - X19O2NoCyA
Mismatch repair,23,0.111755022,1,0.851958486,1.00E+00,0.988443982,1,0.775049909,1,X1O2NoCyA - X19O2NoCyA
Arginine and proline metabolism,35,0.218827415,1,0.459124361,1.00E+00,0.947416095,1,0.519374952,1,X1O2NoCyA - X19O2NoCyA
T cell receptor signaling pathway,79,0.189466483,1,0.586942419,1.00E+00,0.865176816,1,0.496426422,1,X1O2NoCyA - X19O2NoCyA
Colorectal cancer,77,0.404919862,1,0.520956454,1.00E+00,0.463500324,1,0.436870337,1,X1O2NoCyA - X19O2NoCyA
Nucleotide excision repair,46,0.155464169,1,0.637497263,1.00E+00,0.993008515,1,0.69526197,1,X1O2NoCyA - X19O2NoCyA
Mucin type O-glycan biosynthesis,20,NA,NA,1,1.00E+00,0.250042551,0.991424631,0.999999853,1,X1O2NoCyA - X19O2NoCyA
Autophagy - animal,124,0.143411807,1,0.726482821,1.00E+00,0.98373069,1,0.697160898,1,X1O2NoCyA - X19O2NoCyA
Ovarian steroidogenesis,24,0.218827415,1,0.653926471,1.00E+00,0.718896414,1,0.488656148,1,X1O2NoCyA - X19O2NoCyA
Hypertrophic cardiomyopathy,48,1,1,0.527145683,1.00E+00,0.196580449,0.991424631,0.999948985,1,X1O2NoCyA - X19O2NoCyA
N-Glycan biosynthesis,47,0.389910667,1,0.508972709,1.00E+00,0.52626122,1,0.443031794,1,X1O2NoCyA - X19O2NoCyA
Glycosaminoglycan biosynthesis - keratan sulfate,11,NA,NA,1,1.00E+00,0.26061762,0.991424631,0.999999866,1,X1O2NoCyA - X19O2NoCyA
B cell receptor signaling pathway,74,0.559455005,1,0.852459917,1.00E+00,0.226142543,0.991424631,0.687448804,1,X1O2NoCyA - X19O2NoCyA
Parkinson disease,211,0.113918539,1,0.957232027,1.00E+00,0.999999965,1,0.991867462,1,X1O2NoCyA - X19O2NoCyA
Synthesis and degradation of ketone bodies,7,1,1,0.206317701,1.00E+00,0.531072516,1,0.999877912,1,X1O2NoCyA - X19O2NoCyA
Ribosome biogenesis in eukaryotes,80,0.118236321,1,0.979676823,1.00E+00,0.957255411,1,0.887983618,1,X1O2NoCyA - X19O2NoCyA
ErbB signaling pathway,67,0.415796009,1,0.349747805,1.00E+00,0.770291898,1,0.458117788,1,X1O2NoCyA - X19O2NoCyA
Cholesterol metabolism,33,0.709779881,1,0.19416122,1.00E+00,0.821404262,1,0.56225805,1,X1O2NoCyA - X19O2NoCyA
Aminoacyl-tRNA biosynthesis,44,0.379491421,1,0.999590567,1.00E+00,0.301424569,0.991424631,0.961796034,1,X1O2NoCyA - X19O2NoCyA
Insulin resistance,88,0.908600852,1,0.249602161,1.00E+00,0.50559722,1,0.669982078,1,X1O2NoCyA - X19O2NoCyA
Neuroactive ligand-receptor interaction,108,0.7735513,1,0.354360279,1.00E+00,0.420877659,1,0.568492671,1,X1O2NoCyA - X19O2NoCyA
ECM-receptor interaction,43,1,1,0.486997516,1.00E+00,0.237362361,0.991424631,0.999946443,1,X1O2NoCyA - X19O2NoCyA
Arrhythmogenic right ventricular cardiomyopathy,40,1,1,0.180858279,1.00E+00,0.65078715,1,0.999903189,1,X1O2NoCyA - X19O2NoCyA
Hepatitis B,134,0.673845949,1,0.802675435,1.00E+00,0.218084997,0.991424631,0.708266498,1,X1O2NoCyA - X19O2NoCyA
Thiamine metabolism,10,NA,NA,0.878957678,1.00E+00,0.321764908,0.991424631,0.779388771,1,X1O2NoCyA - X19O2NoCyA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,14,NA,NA,0.409751406,1.00E+00,0.690799165,1,0.523048527,1,X1O2NoCyA - X19O2NoCyA
Vascular smooth muscle contraction,81,0.755062385,1,0.547053158,1.00E+00,0.291495002,0.991424631,0.624758681,1,X1O2NoCyA - X19O2NoCyA
Riboflavin metabolism,7,NA,NA,0.546604307,1.00E+00,0.531072516,1,0.55585895,1,X1O2NoCyA - X19O2NoCyA
Sphingolipid signaling pathway,99,0.404919862,1,0.954872796,1.00E+00,0.316763465,0.991424631,0.776047152,1,X1O2NoCyA - X19O2NoCyA
2-Oxocarboxylic acid metabolism,17,NA,NA,0.870250776,1.00E+00,0.335544191,0.991424631,0.77435357,1,X1O2NoCyA - X19O2NoCyA
Homologous recombination,41,0.625367941,1,0.602304959,1.00E+00,0.329777512,0.991424631,0.582495705,1,X1O2NoCyA - X19O2NoCyA
Phospholipase D signaling pathway,102,0.186846404,1,0.813618759,1.00E+00,0.826345971,1,0.639719982,1,X1O2NoCyA - X19O2NoCyA
Sulfur metabolism,8,NA,NA,1,1.00E+00,0.297760445,0.991424631,0.999999901,1,X1O2NoCyA - X19O2NoCyA
Vasopressin-regulated water reabsorption,35,0.474751771,1,0.928757047,1.00E+00,0.288674188,0.991424631,0.756912918,1,X1O2NoCyA - X19O2NoCyA
"Parathyroid hormone synthesis, secretion and action",78,0.930547571,1,0.960123348,1.00E+00,0.142711613,0.991424631,0.955128493,1,X1O2NoCyA - X19O2NoCyA
Glycosphingolipid biosynthesis - lacto and neolacto series,18,NA,NA,NA,NA,0.66112149,1,0.66112149,1,X1O2NoCyA - X19O2NoCyA
Fatty acid metabolism,50,1,1,0.788404899,1.00E+00,0.163711969,0.991424631,0.999991961,1,X1O2NoCyA - X19O2NoCyA
MAPK signaling pathway,205,0.2789503,1,0.827131959,1.00E+00,0.578642634,1,0.619700315,1,X1O2NoCyA - X19O2NoCyA
mRNA surveillance pathway,83,0.140310117,1,0.996376491,1.00E+00,0.962161953,1,0.957371695,1,X1O2NoCyA - X19O2NoCyA
Osteoclast differentiation,98,0.831765595,1,0.64850697,1.00E+00,0.257449679,0.991424631,0.734651832,1,X1O2NoCyA - X19O2NoCyA
Olfactory transduction,30,0.389910667,1,0.418897707,1.00E+00,0.861393816,1,0.54073727,1,X1O2NoCyA - X19O2NoCyA
Wnt signaling pathway,122,0.598634731,1,0.252393706,1.00E+00,0.937818724,1,0.626448526,1,X1O2NoCyA - X19O2NoCyA
Influenza A,128,0.495281316,1,0.773034871,1.00E+00,0.372840177,0.991424631,0.638226396,1,X1O2NoCyA - X19O2NoCyA
Focal adhesion,139,0.247059774,1,0.838746254,1.00E+00,0.696395722,1,0.652581838,1,X1O2NoCyA - X19O2NoCyA
Glycosphingolipid biosynthesis - ganglio series,14,NA,NA,0.65176716,1.00E+00,0.504031193,1,0.633330831,1,X1O2NoCyA - X19O2NoCyA
Cellular senescence,136,0.95933011,1,0.158718541,1.00E+00,0.95664577,1,0.875569258,1,X1O2NoCyA - X19O2NoCyA
Human papillomavirus infection,248,0.932509557,1,0.758355791,1.00E+00,0.206011297,0.991424631,0.868489541,1,X1O2NoCyA - X19O2NoCyA
One carbon pool by folate,18,1,1,0.295105182,1.00E+00,0.495623678,1,0.999932287,1,X1O2NoCyA - X19O2NoCyA
PI3K-Akt signaling pathway,223,0.411395323,1,0.479908371,1.00E+00,0.751036104,1,0.532478545,1,X1O2NoCyA - X19O2NoCyA
Pyrimidine metabolism,45,0.55118886,1,0.992788617,1.00E+00,0.271794709,0.991424631,0.924989582,1,X1O2NoCyA - X19O2NoCyA
Chagas disease,69,0.709779881,1,0.423839827,1.00E+00,0.500682875,1,0.594164026,1,X1O2NoCyA - X19O2NoCyA
Inositol phosphate metabolism,67,0.529452029,1,0.470637393,1.00E+00,0.612960339,1,0.544253068,1,X1O2NoCyA - X19O2NoCyA
Dopaminergic synapse,93,0.31176814,1,0.694562091,1.00E+00,0.717358102,1,0.591020459,1,X1O2NoCyA - X19O2NoCyA
Long-term depression,43,0.312283245,1,0.997046648,1.00E+00,0.499072802,1,0.928717716,1,X1O2NoCyA - X19O2NoCyA
Taurine and hypotaurine metabolism,5,NA,NA,1,1.00E+00,0.347047068,0.991424631,0.999999932,1,X1O2NoCyA - X19O2NoCyA
Measles,110,0.908952954,1,0.578250384,1.00E+00,0.297587339,0.991424631,0.787660986,1,X1O2NoCyA - X19O2NoCyA
Purine metabolism,99,0.776208538,1,0.996233848,1.00E+00,0.205357605,0.991424631,0.972364251,1,X1O2NoCyA - X19O2NoCyA
Metabolism of xenobiotics by cytochrome P450,28,1,1,0.585945956,1.00E+00,0.274269324,0.991424631,0.999977514,1,X1O2NoCyA - X19O2NoCyA
Base excision repair,33,0.204336059,1,0.896601739,1.00E+00,0.87955499,1,0.76730476,1,X1O2NoCyA - X19O2NoCyA
Kaposi sarcoma-associated herpesvirus infection,150,0.854153749,1,0.315193135,1.00E+00,0.609532008,1,0.686459382,1,X1O2NoCyA - X19O2NoCyA
Natural killer cell mediated cytotoxicity,81,0.545886822,1,0.748207203,1.00E+00,0.411116648,1,0.664021673,1,X1O2NoCyA - X19O2NoCyA
Pathogenic Escherichia coli infection,162,0.242751025,1,0.801266562,1.00E+00,0.865419693,1,0.697748388,1,X1O2NoCyA - X19O2NoCyA
Glyoxylate and dicarboxylate metabolism,23,1,1,0.180858279,1.00E+00,0.94018553,1,0.999985258,1,X1O2NoCyA - X19O2NoCyA
Gap junction,63,0.204336059,1,0.960123348,1.00E+00,0.886240558,1,0.85569133,1,X1O2NoCyA - X19O2NoCyA
Cytokine-cytokine receptor interaction,113,0.93473882,1,0.674141861,1.00E+00,0.279373265,0.991424631,0.855253452,1,X1O2NoCyA - X19O2NoCyA
Hedgehog signaling pathway,40,0.245440504,1,0.928686903,1.00E+00,0.780443639,1,0.787737165,1,X1O2NoCyA - X19O2NoCyA
Toll-like receptor signaling pathway,68,0.776208538,1,0.277830913,1.00E+00,0.825202813,1,0.682751157,1,X1O2NoCyA - X19O2NoCyA
Notch signaling pathway,52,0.846483577,1,0.579773667,1.00E+00,0.363422866,0.991424631,0.747250527,1,X1O2NoCyA - X19O2NoCyA
FoxO signaling pathway,107,0.635889238,1,0.54195864,1.00E+00,0.530950669,1,0.627848246,1,X1O2NoCyA - X19O2NoCyA
Bladder cancer,33,0.862231559,1,0.550961628,1.00E+00,0.395991762,0.991424631,0.756929721,1,X1O2NoCyA - X19O2NoCyA
Serotonergic synapse,65,1,1,0.988533199,1.00E+00,0.19472415,0.991424631,0.999999947,1,X1O2NoCyA - X19O2NoCyA
Synaptic vesicle cycle,52,1,1,0.694777426,1.00E+00,0.279145735,0.991424631,0.999990477,1,X1O2NoCyA - X19O2NoCyA
GnRH secretion,41,0.7735513,1,0.94463351,1.00E+00,0.267098148,0.991424631,0.901223263,1,X1O2NoCyA - X19O2NoCyA
Dilated cardiomyopathy,51,1,1,0.791380984,1.00E+00,0.248199676,0.991424631,0.999995403,1,X1O2NoCyA - X19O2NoCyA
Epithelial cell signaling in Helicobacter pylori infection,60,0.679436653,1,0.509322062,1.00E+00,0.573330415,1,0.652457106,1,X1O2NoCyA - X19O2NoCyA
Legionellosis,41,0.679436653,1,0.580778661,1.00E+00,0.504641037,1,0.670932156,1,X1O2NoCyA - X19O2NoCyA
