"","Pathway.name","Unique.genes","Phosphoproteomics","PhosphoproteomicsFDR_BH","Proteomics","ProteomicsFDR_BH","Transcriptomics","TranscriptomicsFDR_BH","Combined","CombinedFDR_BH","Contrast","Proteomics_FDR","Phosphoproteomics_FDR","Transcriptomics_FDR","Combined_FDR"
"518","Hepatitis B","134","0.673845949","1.0000000","0.802675435","1.000000e+00","0.2180849970","0.991424631","0.708266498","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"519","Thiamine metabolism"," 10",NA,NA,"0.878957678","1.000000e+00","0.3217649080","0.991424631","0.779388771","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"520","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"," 14",NA,NA,"0.409751406","1.000000e+00","0.6907991650","1.000000000","0.523048527","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"521","Vascular smooth muscle contraction"," 81","0.755062385","1.0000000","0.547053158","1.000000e+00","0.2914950020","0.991424631","0.624758681","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"522","Riboflavin metabolism","  7",NA,NA,"0.546604307","1.000000e+00","0.5310725160","1.000000000","0.555858950","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"523","Sphingolipid signaling pathway"," 99","0.404919862","1.0000000","0.954872796","1.000000e+00","0.3167634650","0.991424631","0.776047152","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"524","2-Oxocarboxylic acid metabolism"," 17",NA,NA,"0.870250776","1.000000e+00","0.3355441910","0.991424631","0.774353570","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"525","Homologous recombination"," 41","0.625367941","1.0000000","0.602304959","1.000000e+00","0.3297775120","0.991424631","0.582495705","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"526","Phospholipase D signaling pathway","102","0.186846404","1.0000000","0.813618759","1.000000e+00","0.8263459710","1.000000000","0.639719982","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"527","Sulfur metabolism","  8",NA,NA,"1","1.000000e+00","0.2977604450","0.991424631","0.999999901","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"528","Vasopressin-regulated water reabsorption"," 35","0.474751771","1.0000000","0.928757047","1.000000e+00","0.2886741880","0.991424631","0.756912918","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"529","Parathyroid hormone synthesis, secretion and action"," 78","0.930547571","1.0000000","0.960123348","1.000000e+00","0.1427116130","0.991424631","0.955128493","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"530","Glycosphingolipid biosynthesis - lacto and neolacto series"," 18",NA,NA,NA,NA,"0.6611214900","1.000000000","0.661121490","1.00000000","X1O2NoCyA - X19O2NoCyA",NA,NA,1,1
"531","Fatty acid metabolism"," 50","1","1.0000000","0.788404899","1.000000e+00","0.1637119690","0.991424631","0.999991961","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"532","MAPK signaling pathway","205","0.2789503","1.0000000","0.827131959","1.000000e+00","0.5786426340","1.000000000","0.619700315","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"533","mRNA surveillance pathway"," 83","0.140310117","1.0000000","0.996376491","1.000000e+00","0.9621619530","1.000000000","0.957371695","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"534","Osteoclast differentiation"," 98","0.831765595","1.0000000","0.64850697","1.000000e+00","0.2574496790","0.991424631","0.734651832","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"535","Olfactory transduction"," 30","0.389910667","1.0000000","0.418897707","1.000000e+00","0.8613938160","1.000000000","0.540737270","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"536","Wnt signaling pathway","122","0.598634731","1.0000000","0.252393706","1.000000e+00","0.9378187240","1.000000000","0.626448526","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"537","Influenza A","128","0.495281316","1.0000000","0.773034871","1.000000e+00","0.3728401770","0.991424631","0.638226396","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"538","Focal adhesion","139","0.247059774","1.0000000","0.838746254","1.000000e+00","0.6963957220","1.000000000","0.652581838","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"539","Glycosphingolipid biosynthesis - ganglio series"," 14",NA,NA,"0.65176716","1.000000e+00","0.5040311930","1.000000000","0.633330831","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"540","Cellular senescence","136","0.95933011","1.0000000","0.158718541","1.000000e+00","0.9566457700","1.000000000","0.875569258","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"541","Human papillomavirus infection","248","0.932509557","1.0000000","0.758355791","1.000000e+00","0.2060112970","0.991424631","0.868489541","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"542","One carbon pool by folate"," 18","1","1.0000000","0.295105182","1.000000e+00","0.4956236780","1.000000000","0.999932287","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"543","PI3K-Akt signaling pathway","223","0.411395323","1.0000000","0.479908371","1.000000e+00","0.7510361040","1.000000000","0.532478545","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"544","Pyrimidine metabolism"," 45","0.55118886","1.0000000","0.992788617","1.000000e+00","0.2717947090","0.991424631","0.924989582","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"545","Chagas disease"," 69","0.709779881","1.0000000","0.423839827","1.000000e+00","0.5006828750","1.000000000","0.594164026","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"546","Inositol phosphate metabolism"," 67","0.529452029","1.0000000","0.470637393","1.000000e+00","0.6129603390","1.000000000","0.544253068","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"547","Dopaminergic synapse"," 93","0.31176814","1.0000000","0.694562091","1.000000e+00","0.7173581020","1.000000000","0.591020459","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"548","Long-term depression"," 43","0.312283245","1.0000000","0.997046648","1.000000e+00","0.4990728020","1.000000000","0.928717716","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"549","Taurine and hypotaurine metabolism","  5",NA,NA,"1","1.000000e+00","0.3470470680","0.991424631","0.999999932","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"550","Measles","110","0.908952954","1.0000000","0.578250384","1.000000e+00","0.2975873390","0.991424631","0.787660986","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"551","Purine metabolism"," 99","0.776208538","1.0000000","0.996233848","1.000000e+00","0.2053576050","0.991424631","0.972364251","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"552","Metabolism of xenobiotics by cytochrome P450"," 28","1","1.0000000","0.585945956","1.000000e+00","0.2742693240","0.991424631","0.999977514","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"553","Base excision repair"," 33","0.204336059","1.0000000","0.896601739","1.000000e+00","0.8795549900","1.000000000","0.767304760","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"554","Kaposi sarcoma-associated herpesvirus infection","150","0.854153749","1.0000000","0.315193135","1.000000e+00","0.6095320080","1.000000000","0.686459382","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"555","Natural killer cell mediated cytotoxicity"," 81","0.545886822","1.0000000","0.748207203","1.000000e+00","0.4111166480","1.000000000","0.664021673","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"556","Pathogenic Escherichia coli infection","162","0.242751025","1.0000000","0.801266562","1.000000e+00","0.8654196930","1.000000000","0.697748388","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"557","Glyoxylate and dicarboxylate metabolism"," 23","1","1.0000000","0.180858279","1.000000e+00","0.9401855300","1.000000000","0.999985258","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"558","Gap junction"," 63","0.204336059","1.0000000","0.960123348","1.000000e+00","0.8862405580","1.000000000","0.855691330","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"559","Cytokine-cytokine receptor interaction","113","0.93473882","1.0000000","0.674141861","1.000000e+00","0.2793732650","0.991424631","0.855253452","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"560","Hedgehog signaling pathway"," 40","0.245440504","1.0000000","0.928686903","1.000000e+00","0.7804436390","1.000000000","0.787737165","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"561","Toll-like receptor signaling pathway"," 68","0.776208538","1.0000000","0.277830913","1.000000e+00","0.8252028130","1.000000000","0.682751157","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"562","Notch signaling pathway"," 52","0.846483577","1.0000000","0.579773667","1.000000e+00","0.3634228660","0.991424631","0.747250527","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"563","FoxO signaling pathway","107","0.635889238","1.0000000","0.54195864","1.000000e+00","0.5309506690","1.000000000","0.627848246","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"564","Bladder cancer"," 33","0.862231559","1.0000000","0.550961628","1.000000e+00","0.3959917620","0.991424631","0.756929721","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"565","Serotonergic synapse"," 65","1","1.0000000","0.988533199","1.000000e+00","0.1947241500","0.991424631","0.999999947","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"566","Synaptic vesicle cycle"," 52","1","1.0000000","0.694777426","1.000000e+00","0.2791457350","0.991424631","0.999990477","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"567","GnRH secretion"," 41","0.7735513","1.0000000","0.94463351","1.000000e+00","0.2670981480","0.991424631","0.901223263","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"568","Dilated cardiomyopathy"," 51","1","1.0000000","0.791380984","1.000000e+00","0.2481996760","0.991424631","0.999995403","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"569","Epithelial cell signaling in Helicobacter pylori infection"," 60","0.679436653","1.0000000","0.509322062","1.000000e+00","0.5733304150","1.000000000","0.652457106","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"570","Legionellosis"," 41","0.679436653","1.0000000","0.580778661","1.000000e+00","0.5046410370","1.000000000","0.670932156","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"571","EGFR tyrosine kinase inhibitor resistance"," 58","0.302261579","1.0000000","0.836912661","1.000000e+00","0.7922675050","1.000000000","0.729675989","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"572","Pertussis"," 51","0.709779881","1.0000000","0.355746557","1.000000e+00","0.8172717280","1.000000000","0.681082917","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"573","Nicotinate and nicotinamide metabolism"," 27","0.709779881","1.0000000","0.663496823","1.000000e+00","0.4390300240","1.000000000","0.718158638","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"574","Morphine addiction"," 46","0.628136217","1.0000000","0.840714497","1.000000e+00","0.3951333240","0.991424631","0.776282977","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"575","Arginine biosynthesis"," 17",NA,NA,"0.585945956","1.000000e+00","0.7374911580","1.000000000","0.695316020","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"576","Proteoglycans in cancer","149","0.680626798","1.0000000","0.425313635","1.000000e+00","0.7380441490","1.000000000","0.666739643","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"577","Mineral absorption"," 35","0.709779881","1.0000000","0.508532172","1.000000e+00","0.5942264120","1.000000000","0.680141721","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"578","Collecting duct acid secretion"," 18","1","1.0000000","0.486997516","1.000000e+00","0.4432140100","1.000000000","0.999978818","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"579","NF-kappa B signaling pathway"," 79","0.737873451","1.0000000","0.601919652","1.000000e+00","0.4887264200","1.000000000","0.717141516","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"580","Cytosolic DNA-sensing pathway"," 41","0.892579553","1.0000000","0.312145529","1.000000e+00","0.7804436390","1.000000000","0.786124737","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"581","Arachidonic acid metabolism"," 25","1","1.0000000","0.794645636","1.000000e+00","0.2742693240","0.991424631","0.999996155","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"582","Vitamin B6 metabolism","  6",NA,NA,"1","1.000000e+00","0.4433157690","1.000000000","0.999999966","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"583","Selenocompound metabolism"," 15","1","1.0000000","0.653926471","1.000000e+00","0.3355441910","0.991424631","0.999989959","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"584","Diabetic cardiomyopathy","159","0.302261579","1.0000000","0.744112673","1.000000e+00","0.9814539970","1.000000000","0.813152356","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"585","Other types of O-glycan biosynthesis"," 35","1","1.0000000","0.878957678","1.000000e+00","0.2547372780","0.991424631","0.999998538","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"586","Cell cycle","118","0.684308361","1.0000000","0.527823494","1.000000e+00","0.6472424440","1.000000000","0.693368183","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"587","Aldosterone-regulated sodium reabsorption"," 27","1","1.0000000","0.663496823","1.000000e+00","0.3544778740","0.991424631","0.999991488","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"588","Salivary secretion"," 55","1","1.0000000","0.71543415","1.000000e+00","0.3335608400","0.991424631","0.999993915","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"589","Amoebiasis"," 59","1","1.0000000","0.62113986","1.000000e+00","0.3936761950","0.991424631","0.999990087","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"590","Adipocytokine signaling pathway"," 54","1","1.0000000","0.312145529","1.000000e+00","0.7836676600","1.000000000","0.999983699","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"591","Glioma"," 59","0.423039774","1.0000000","0.812406586","1.000000e+00","0.7148490970","1.000000000","0.747723188","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"592","Apelin signaling pathway"," 99","0.875186997","1.0000000","0.344252796","1.000000e+00","0.8336611150","1.000000000","0.807163723","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"593","Basal transcription factors"," 42","0.621111308","1.0000000","0.494173868","1.000000e+00","0.8261562580","1.000000000","0.710347650","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"594","Carbon metabolism"," 99","0.670629192","1.0000000","0.726482821","1.000000e+00","0.5209147370","1.000000000","0.758310947","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"595","Glutathione metabolism"," 37","1","1.0000000","0.865179594","1.000000e+00","0.2938004310","0.991424631","0.999998555","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"596","TGF-beta signaling pathway"," 72","0.679436653","1.0000000","0.754693858","1.000000e+00","0.4964858980","1.000000000","0.773347792","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"597","Ras signaling pathway","150","0.437808309","1.0000000","0.708623144","1.000000e+00","0.8229545130","1.000000000","0.729442636","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"598","Renin secretion"," 38","0.709779881","1.0000000","0.71149611","1.000000e+00","0.5108033820","1.000000000","0.768851066","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"599","p53 signaling pathway"," 67","1","1.0000000","0.580778661","1.000000e+00","0.4458782510","1.000000000","0.999989330","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"600","Prolactin signaling pathway"," 52","0.312283245","1.0000000","0.876051016","1.000000e+00","0.9475261840","1.000000000","0.854088894","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"601","Bile secretion"," 34","0.7735513","1.0000000","0.413574464","1.000000e+00","0.8171269880","1.000000000","0.757605745","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"602","GABAergic synapse"," 46","0.52363579","1.0000000","0.754038517","1.000000e+00","0.6691922320","1.000000000","0.743386270","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"603","Hepatocellular carcinoma","131","0.581586929","1.0000000","0.935873256","1.000000e+00","0.4901178920","1.000000000","0.867230438","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"604","NOD-like receptor signaling pathway","135","0.558723417","1.0000000","0.658578682","1.000000e+00","0.7335958150","1.000000000","0.726569215","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"605","Fc gamma R-mediated phagocytosis"," 77","0.891678972","1.0000000","0.967375743","1.000000e+00","0.3145938250","0.991424631","0.965726098","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"606","Histidine metabolism"," 11",NA,NA,"1","1.000000e+00","0.5149884500","1.000000000","0.999999980","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"607","C-type lectin receptor signaling pathway"," 82","0.99467506","1.0000000","0.533282605","1.000000e+00","0.5137618300","1.000000000","0.959235535","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"608","Maturity onset diabetes of the young","  9","1","1.0000000","0.409751406","1.000000e+00","0.6763536610","1.000000000","0.999986559","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"609","Adrenergic signaling in cardiomyocytes"," 93","0.679436653","1.0000000","0.741450915","1.000000e+00","0.5576811070","1.000000000","0.782961440","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"610","Non-small cell lung cancer"," 62","0.914962652","1.0000000","0.917746133","1.000000e+00","0.3373131000","0.991424631","0.949559548","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"611","Thyroid hormone signaling pathway","100","0.762961568","1.0000000","0.673479317","1.000000e+00","0.5609839240","1.000000000","0.794004546","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"612","Alanine, aspartate and glutamate metabolism"," 24","0.389910667","1.0000000","0.870250776","1.000000e+00","0.8639930020","1.000000000","0.834519810","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"613","Calcium signaling pathway","129","0.668412648","1.0000000","0.677303816","1.000000e+00","0.6551600830","1.000000000","0.769805552","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"614","Propanoate metabolism"," 32","0.7735513","1.0000000","0.459124361","1.000000e+00","0.8403248190","1.000000000","0.790730081","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"615","Valine, leucine and isoleucine degradation"," 42","0.52363579","1.0000000","0.694777426","1.000000e+00","0.8261562580","1.000000000","0.767748199","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"616","Regulation of actin cytoskeleton","159","0.456778113","1.0000000","0.731186963","1.000000e+00","0.9456487300","1.000000000","0.828186296","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"617","Longevity regulating pathway"," 73","0.92213538","1.0000000","0.952704246","1.000000e+00","0.3630866980","0.991424631","0.970048913","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"618","Cysteine and methionine metabolism"," 42","0.823351222","1.0000000","0.834389956","1.000000e+00","0.4648653580","1.000000000","0.886024270","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"619","Thyroid cancer"," 30","0.892579553","1.0000000","0.931216696","1.000000e+00","0.3959917620","0.991424631","0.953134718","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"620","Platelet activation"," 90","0.453189114","1.0000000","0.772458611","1.000000e+00","0.9407426310","1.000000000","0.843589295","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"621","SNARE interactions in vesicular transport"," 33","0.474751771","1.0000000","0.752746683","1.000000e+00","0.9264509990","1.000000000","0.831632281","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"622","Endocrine resistance"," 83","0.578957819","1.0000000","0.836912661","1.000000e+00","0.6918316630","1.000000000","0.831803002","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"623","Ferroptosis"," 34","0.55118886","1.0000000","0.971501478","1.000000e+00","0.6301431020","1.000000000","0.926267420","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"624","RIG-I-like receptor signaling pathway"," 47","0.975980743","1.0000000","0.902697626","1.000000e+00","0.3944625020","0.991424631","0.979097265","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"625","cAMP signaling pathway","124","0.805725887","1.0000000","0.490105238","1.000000e+00","0.8874604210","1.000000000","0.845286531","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"626","Nitrogen metabolism","  8",NA,NA,"1","1.000000e+00","0.6088432070","1.000000000","0.999999990","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"627","Chronic myeloid leukemia"," 69","0.923699678","1.0000000","0.917520987","1.000000e+00","0.4164757070","1.000000000","0.960660810","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"628","Protein export"," 23","0.52363579","1.0000000","0.993442876","1.000000e+00","0.6805586080","1.000000000","0.966435316","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"629","VEGF signaling pathway"," 48","0.566774037","1.0000000","0.951486182","1.000000e+00","0.6576607760","1.000000000","0.910602464","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"630","beta-Alanine metabolism"," 23","1","1.0000000","0.907086579","1.000000e+00","0.3946713740","0.991424631","0.999999582","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"631","Melanoma"," 46","0.619447607","1.0000000","0.791380984","1.000000e+00","0.7506924870","1.000000000","0.838139987","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"632","Tryptophan metabolism"," 26","1","1.0000000","0.870250776","1.000000e+00","0.4390300240","1.000000000","0.999999363","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"633","Rap1 signaling pathway","145","0.518592002","1.0000000","0.761267063","1.000000e+00","0.9706761310","1.000000000","0.888814186","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"634","Human cytomegalovirus infection","169","0.880430864","1.0000000","0.982678165","1.000000e+00","0.4688187840","1.000000000","0.982727863","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"635","Non-alcoholic fatty liver disease","130","0.529452029","1.0000000","0.766666836","1.000000e+00","0.9998592640","1.000000000","0.972575469","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"636","Non-homologous end-joining"," 13","0.474751771","1.0000000","1","1.000000e+00","0.8570669570","1.000000000","0.999996623","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"637","Vibrio cholerae infection"," 44","1","1.0000000","0.902697626","1.000000e+00","0.4990728020","1.000000000","0.999999731","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"638","JAK-STAT signaling pathway"," 86","0.873538098","1.0000000","0.88526791","1.000000e+00","0.5868276660","1.000000000","0.946796135","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"639","Gastric acid secretion"," 46","0.892579553","1.0000000","0.71543415","1.000000e+00","0.7114536780","1.000000000","0.918902502","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"640","Shigellosis","215","0.737550702","1.0000000","0.841486711","1.000000e+00","0.7855185760","1.000000000","0.914870118","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"641","Regulation of lipolysis in adipocytes"," 33","1","1.0000000","0.762836139","1.000000e+00","0.6442141220","1.000000000","0.999999113","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"642","Fatty acid biosynthesis"," 16","1","1.0000000","0.805211041","1.000000e+00","0.6126976060","1.000000000","0.999999349","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"643","Pyruvate metabolism"," 38","1","1.0000000","0.522786648","1.000000e+00","0.9557226260","1.000000000","0.999999423","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"644","Human immunodeficiency virus 1 infection","175","0.989265893","1.0000000","0.5698762","1.000000e+00","0.9091989720","1.000000000","0.983679826","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"645","Hepatitis C","116","0.805725887","1.0000000","0.954855799","1.000000e+00","0.6714455270","1.000000000","0.966853800","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"646","Porphyrin and chlorophyll metabolism"," 19","1","1.0000000","0.870250776","1.000000e+00","0.5939326620","1.000000000","0.999999705","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"647","Endocytosis","217","0.797351165","1.0000000","0.682496884","1.000000e+00","0.9588991410","1.000000000","0.936161851","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"648","Ether lipid metabolism"," 27","1","1.0000000","0.842331213","1.000000e+00","0.6211856760","1.000000000","0.999999612","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"649","DNA replication"," 36","0.566774037","1.0000000","0.976510164","1.000000e+00","0.9918795110","1.000000000","0.989996400","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"650","Glutamatergic synapse"," 74","0.823351222","1.0000000","0.84215064","1.000000e+00","0.8153864880","1.000000000","0.945867709","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"651","Acute myeloid leukemia"," 56","0.891678972","1.0000000","0.758234677","1.000000e+00","0.8412679110","1.000000000","0.950537496","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"652","Yersinia infection","114","0.646769599","1.0000000","0.906239501","1.000000e+00","0.9710245860","1.000000000","0.966615116","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"653","Proximal tubule bicarbonate reclamation"," 16","1","1.0000000","0.585945956","1.000000e+00","0.9839437750","1.000000000","0.999999860","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"654","Leukocyte transendothelial migration"," 81","1","1.0000000","0.924741799","1.000000e+00","0.6398390190","1.000000000","0.999999921","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"655","PD-L1 expression and PD-1 checkpoint pathway in cancer"," 78","0.953993983","1.0000000","0.76742333","1.000000e+00","0.8223199670","1.000000000","0.973502090","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"656","Protein digestion and absorption"," 42","1","1.0000000","0.907086579","1.000000e+00","0.6820025430","1.000000000","0.999999907","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"657","Steroid hormone biosynthesis"," 19",NA,NA,"1","1.000000e+00","0.8444736260","1.000000000","0.999999999","1.00000000","X1O2NoCyA - X19O2NoCyA",1,NA,1,1
"658","cGMP-PKG signaling pathway","110","0.963344618","1.0000000","0.868737957","1.000000e+00","0.7669106430","1.000000000","0.985463216","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"659","Tight junction","133","0.894605915","1.0000000","0.779490049","1.000000e+00","0.9292833050","1.000000000","0.970433337","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
"660","Endocrine and other factor-regulated calcium reabsorption"," 36","0.709779881","1.0000000","0.991447801","1.000000e+00","0.9377216520","1.000000000","0.993837067","1.00000000","X1O2NoCyA - X19O2NoCyA",1,1,1,1
